"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
199, 1.000000000000000e+00, 0.000000000000000e+00, 3.350165281041899e+106, 7.478047502325669e+106, 9.541877250810643e-01
0, 9.997500181200000e-01, -3.632896519016437e-05, 3.350436573954392e+106, 7.478653066862483e+106, 9.543831013746423e-01
1, 9.990000128750000e-01, -1.452537504052920e-04, 3.696907256997690e+105, 8.252025127226987e+105, 1.609087918786868e+00
2, 9.977599978450000e-01, -3.251111630156300e-04, 6.274874338663554e+105, 1.400641593451686e+106, 1.003969771337059e+00
3, 9.960200190539999e-01, -5.769983605901485e-04, 9.127508373629214e+105, 2.037390261970807e+106, 5.458963501294357e-01
4, 9.937800168990000e-01, -9.004365425509819e-04, 7.556601330135135e+105, 1.686741368333736e+106, 9.638541745106007e-02
5, 9.910500049590000e-01, -1.293363843462116e-03, 3.126012222548054e+105, 6.977705853901906e+105, 1.113623495600777e+00
6, 9.878399968150000e-01, -1.753609743384430e-03, 2.597156594224829e+105, 5.797224540680421e+105, 1.139056824835172e+00
7, 9.841300249100000e-01, -2.283176811071472e-03, 3.888883243587607e+103, 8.680542954436621e+103, 3.171461940428979e+00
8, 9.799500107769999e-01, -2.876826092032643e-03, 1.046500944276754e+105, 2.335939607760610e+105, 2.106039188900628e+00
9, 9.752799868580000e-01, -3.536324145770189e-03, 1.635549076314065e+104, 3.650779188201039e+104, 1.788655618769265e+00
10, 9.701499938960000e-01, -4.256268552403566e-03, 2.505766063464119e+103, 5.593227820232409e+103, 1.140535124148514e+01
11, 9.645400047300000e-01, -5.038225493362627e-03, 1.607953206485393e+104, 3.589181264476324e+104, 1.229212059044299e+00
12, 9.584699869160000e-01, -5.878077433056352e-03, 6.538617619358901e+103, 1.459512861464041e+104, 4.821637700035544e+00
13, 9.519400000570000e-01, -6.774428848839826e-03, 1.310554786617265e+102, 2.925345505842109e+102, 1.978447817541272e+01
14, 9.449599981310000e-01, -7.724467125531491e-03, 2.404736237497169e+103, 5.367714815841896e+103, 5.002889402567811e+00
15, 9.375399947170000e-01, -8.725349486403867e-03, 8.708500438193671e+103, 1.943861704953944e+104, 1.416957303035152e+00
16, 9.296900033950000e-01, -9.774221272349531e-03, 1.357944216044342e+104, 3.031125482241836e+104, 2.760125597115388e+00
17, 9.214000105860000e-01, -1.087086069705918e-02, 1.512066788675734e+104, 3.375149081865477e+104, 2.544412028903135e+00
18, 9.126999974250000e-01, -1.200973104171110e-02, 1.358004177913634e+104, 3.031259325700077e+104, 2.683774439542822e+00
19, 9.035800099370001e-01, -1.319055953446835e-02, 8.660303247725016e+103, 1.933103403510048e+104, 2.379787081008994e+00
20, 8.940600156780000e-01, -1.440916392228702e-02, 9.292626489395348e+103, 2.074246984240033e+104, 2.987919399002814e+00
21, 8.841500282290000e-01, -1.566269158090452e-02, 6.398301127326961e+103, 1.428192215921197e+104, 2.972728867093172e+00
22, 8.738499879840000e-01, -1.694956337677533e-02, 6.570572077078741e+103, 1.466645552919362e+104, 2.942010897146758e+00
23, 8.631799817090000e-01, -1.826569132102762e-02, 4.346408714800317e+103, 9.701805166964992e+103, 3.321308784354500e+00
24, 8.521599769590000e-01, -1.960709133914372e-02, 4.975316102657060e+103, 1.110561630057379e+104, 3.439356026559644e+00
25, 8.407700061800000e-01, -2.097463226217677e-02, 2.968030883583193e+103, 6.625068936569626e+103, 3.305105497127079e+00
26, 8.290500044819999e-01, -2.236196298315981e-02, 1.881319581550603e+103, 4.199374065961168e+103, 5.515583141532131e+00
27, 8.170099854470000e-01, -2.376642068849115e-02, 3.700244642304175e+103, 8.259474648000391e+103, 3.286024564502359e+00
28, 8.046399950980000e-01, -2.518763605296113e-02, 3.591730334509824e+103, 8.017255210959429e+103, 3.354952844188626e+00
29, 7.919700145720000e-01, -2.662062628442961e-02, 1.473752355259998e+103, 3.289625792991068e+103, 5.569383418568453e+00
30, 7.790099978450000e-01, -2.806276676215449e-02, 1.568249147604478e+103, 3.500556133045710e+103, 5.352636525149034e+00
31, 7.657799720760000e-01, -2.951033727360171e-02, 1.710799795730085e+103, 3.818749544040368e+103, 4.487355278458805e+00
32, 7.522799968720000e-01, -3.096181144522562e-02, 1.576501507592117e+103, 3.518976579446690e+103, 4.704703967355012e+00
33, 7.385200262070000e-01, -3.241453277608040e-02, 1.398990321307091e+103, 3.122746252917614e+103, 4.834408714923076e+00
34, 7.245299816130000e-01, -3.386376679305321e-02, 2.313127557498869e+103, 5.163231155131405e+103, 3.668320591992080e+00
35, 7.103199958800001e-01, -3.530689307158652e-02, 1.150115699449571e+103, 2.567222543414221e+103, 4.968972367718925e+00
36, 6.958900094030001e-01, -3.674225211597043e-02, 8.782216898342566e+102, 1.960316271951465e+103, 5.776194205703238e+00
37, 6.812700033190000e-01, -3.816515293304169e-02, 9.865271390518439e+102, 2.202069506812152e+103, 5.350674247536915e+00
38, 6.664699912070000e-01, -3.957289370556494e-02, 7.646500438969765e+102, 1.706808133698608e+103, 6.156742599798263e+00
39, 6.514999866490000e-01, -4.096270419333766e-02, 1.176638748607174e+103, 2.626425778141014e+103, 4.852326743962688e+00
40, 6.363800168040000e-01, -4.233084266562091e-02, 1.017439985037578e+103, 2.271071395173166e+103, 5.267559605977170e+00
41, 6.211299896240000e-01, -4.367359094194759e-02, 1.209307708733426e+103, 2.699347564137112e+103, 4.760620745924722e+00
42, 6.057599782940000e-01, -4.498807223669178e-02, 1.065357869233917e+103, 2.378030958111422e+103, 5.115693843710212e+00
43, 5.902799963950000e-01, -4.627132533375768e-02, 1.141901478177708e+103, 2.548887228075241e+103, 4.714476006064650e+00
44, 5.747100114820000e-01, -4.751950934859488e-02, 1.067073942980093e+103, 2.381861479866280e+103, 4.900371134355860e+00
45, 5.590599775310000e-01, -4.872955796694115e-02, 1.111599552333145e+103, 2.481249000743627e+103, 4.905116164807108e+00
46, 5.433599948880000e-01, -4.989683951066199e-02, 1.062198601377222e+103, 2.370979020931299e+103, 5.032848349302378e+00
