"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
199, 1.000000000000000e+00, 0.000000000000000e+00, 1.263646803533090e+00, 5.884973293149328e-01, 3.898942183466564e-01
0, 9.997500181200000e-01, -3.632544925910929e-05, 1.279323045762272e+00, 6.234889414336433e-01, 4.468824032997836e-01
1, 9.990000128750000e-01, -1.450316386285464e-04, 1.252107502311149e+00, 5.627399605159565e-01, 4.929248575061886e-01
2, 9.977599978450000e-01, -3.226727127489234e-04, 1.228167045735324e+00, 5.093014413734915e-01, 5.231813437578974e-01
3, 9.960200190539999e-01, -5.638106299071996e-04, 1.206268687733927e+00, 4.604211779775167e-01, 5.491083182558256e-01
4, 9.937800168990000e-01, -8.526725397976209e-04, 1.187043397865587e+00, 4.175075845213990e-01, 5.723328480219760e-01
5, 9.910500049590000e-01, -1.160899118270904e-03, 1.171753066629992e+00, 3.833773808705189e-01, 5.914259318484926e-01
6, 9.878399968150000e-01, -1.451113433489742e-03, 1.162369029210915e+00, 3.624308687743629e-01, 6.034770598941969e-01
7, 9.841300249100000e-01, -1.686459083952324e-03, 1.162738060845171e+00, 3.632546001008276e-01, 6.047933397415521e-01
8, 9.799500107769999e-01, -1.837566022934147e-03, 1.172163694763835e+00, 3.842939615264184e-01, 5.968047199738475e-01
9, 9.752799868580000e-01, -1.902868925348373e-03, 1.189673132746967e+00, 4.233775284530518e-01, 5.779466136003654e-01
10, 9.701499938960000e-01, -1.913092101239578e-03, 1.209718301698238e+00, 4.681212091478537e-01, 5.566281041655492e-01
11, 9.645400047300000e-01, -1.931254194288119e-03, 1.229511315044844e+00, 5.123020425108120e-01, 5.328345411374813e-01
12, 9.584699869160000e-01, -2.039795471308013e-03, 1.244817236238787e+00, 5.464670451758634e-01, 5.143590525430001e-01
13, 9.519400000570000e-01, -2.323733437762065e-03, 1.255599630741352e+00, 5.705348900476616e-01, 4.997961983793570e-01
14, 9.449599981310000e-01, -2.855441779841277e-03, 1.260388361594281e+00, 5.812240214158069e-01, 4.924255677400625e-01
15, 9.375399947170000e-01, -3.686672692489323e-03, 1.260888023086889e+00, 5.823393372475193e-01, 4.903002183365296e-01
16, 9.296900033950000e-01, -4.847795132739557e-03, 1.256433929823016e+00, 5.723971647835190e-01, 4.938142560731882e-01
17, 9.214000105860000e-01, -6.354468621617319e-03, 1.248587063200946e+00, 5.548818375021124e-01, 5.023046057104276e-01
18, 9.126999974250000e-01, -8.199286815639657e-03, 1.236586478471018e+00, 5.280948180156654e-01, 5.146093671787088e-01
19, 9.035800099370001e-01, -1.036659728215263e-02, 1.221564211361698e+00, 4.945629717895055e-01, 5.317391989392959e-01
20, 8.940600156780000e-01, -1.281827618452066e-02, 1.203077965371595e+00, 4.532990298473109e-01, 5.506610051443221e-01
21, 8.841500282290000e-01, -1.550322135126808e-02, 1.182237114736688e+00, 4.067792739658208e-01, 5.746432639148067e-01
22, 8.738499879840000e-01, -1.836233985994869e-02, 1.159603621601101e+00, 3.562580839310285e-01, 5.979435666046580e-01
23, 8.631799817090000e-01, -2.132685897167104e-02, 1.136936680007209e+00, 3.056622321589495e-01, 6.238382942041202e-01
24, 8.521599769590000e-01, -2.433193557734618e-02, 1.115177511364483e+00, 2.570926592957211e-01, 6.467740388970643e-01
25, 8.407700061800000e-01, -2.733442237185703e-02, 1.097385270908037e+00, 2.173778368482978e-01, 6.673961539222398e-01
26, 8.290500044819999e-01, -3.029057568057765e-02, 1.079131569969233e+00, 1.766329686813226e-01, 6.856274271127709e-01
27, 8.170099854470000e-01, -3.318184364390691e-02, 1.065889854684869e+00, 1.470755684930116e-01, 7.009284632176860e-01
28, 8.046399950980000e-01, -3.600920186972455e-02, 1.053173525629901e+00, 1.186909054238868e-01, 7.120518302116929e-01
29, 7.919700145720000e-01, -3.877542763750645e-02, 1.037615730815013e+00, 8.396368485493902e-02, 7.300415121463525e-01
30, 7.790099978450000e-01, -4.149438407450585e-02, 1.029260927444728e+00, 6.531457018912394e-02, 7.394261879614884e-01
31, 7.657799720760000e-01, -4.417917421010122e-02, 1.021818301983350e+00, 4.870156692712004e-02, 7.540971802228201e-01
32, 7.522799968720000e-01, -4.684423335616984e-02, 1.035165087053808e+00, 7.849349788796342e-02, 7.467443986590644e-01
33, 7.385200262070000e-01, -4.949642614588430e-02, 1.084736408661450e+00, 1.891437693335946e-01, 6.974131792378199e-01
34, 7.245299816130000e-01, -5.213212997573831e-02, 1.091527558417455e+00, 2.043025857532484e-01, 6.885978780875026e-01
35, 7.103199958800001e-01, -5.474484844471574e-02, 1.139247026098829e+00, 3.108192546848857e-01, 6.473031691195011e-01
36, 6.958900094030001e-01, -5.732399597419083e-02, 9.843033714104232e-01, -3.503711738744814e-02, 7.502220769730827e-01
37, 6.812700033190000e-01, -5.984926826027237e-02, 7.709668560219248e-01, -5.112346963796321e-01, 9.828473906809200e-01
38, 6.664699912070000e-01, -6.230152429691781e-02, 6.728675468056684e-01, -7.302063687373473e-01, 1.075208368896796e+00
39, 6.514999866490000e-01, -6.466082330345789e-02, 5.684738718692414e-01, -9.632279645775863e-01, 1.269173977781589e+00
