"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"
0	9.997500181200000e-01	-3.632896519016437e-05	1.089129544646526e+00	9.533952208995671e-01	1.111499916891071e-01	3.191638588277792e+00	1.107471379582349e+00	1.016840820291746e+00	2.398914722820300e-01	7.386427584846621e-01	
1	9.990000128750000e-01	-1.452537504052920e-04	1.048562172336161e+00	8.815215573994520e-01	1.315621016236476e-01	3.064685006171063e+00	1.074354357052700e+00	1.024597668499785e+00	1.659695469926342e-01	7.097112381632893e-01	
2	9.977599978450000e-01	-3.251111630156300e-04	1.047560848452210e+00	8.866417386448076e-01	1.287592746929817e-01	3.063103013598691e+00	1.071987573497700e+00	1.023317714748104e+00	1.606865479859370e-01	7.145481458297952e-01	
3	9.960200190539999e-01	-5.769983605901485e-04	1.045951663739659e+00	8.916899512252857e-01	1.284428161310842e-01	3.059951358641914e+00	1.068790097422187e+00	1.021835075629472e+00	1.535493246030958e-01	7.201239654935679e-01	
4	9.937800168990000e-01	-9.004365425509819e-04	1.044024075051675e+00	8.922238936412275e-01	1.286956285285165e-01	3.054865157054263e+00	1.066274165859666e+00	1.021311856057428e+00	1.479334059367553e-01	7.220905303456978e-01	
5	9.910500049590000e-01	-1.293363843462116e-03	1.042254048279338e+00	8.937328757344822e-01	1.283559488621161e-01	3.050425463673959e+00	1.063733527032459e+00	1.020608678650452e+00	1.422623371260257e-01	7.247259726845177e-01	
6	9.878399968150000e-01	-1.753609743384430e-03	1.040196452102319e+00	8.953175254867184e-01	1.280637380729137e-01	3.045229382910395e+00	1.060814963611638e+00	1.019821747582054e+00	1.357476866331215e-01	7.276683463405574e-01	
7	9.841300249100000e-01	-2.283176811071472e-03	1.037874088166890e+00	8.971461555515537e-01	1.277165473261342e-01	3.039375616078896e+00	1.057507016304823e+00	1.018916483571345e+00	1.283638756804090e-01	7.310413206046747e-01	
8	9.799500107769999e-01	-2.876826092032643e-03	1.035289700857882e+00	8.991411271442341e-01	1.273155600954775e-01	3.032863033298228e+00	1.053834439208184e+00	1.017912607780156e+00	1.201661589468393e-01	7.347800642663899e-01	
9	9.752799868580000e-01	-3.536324145770189e-03	1.032483108059776e+00	9.012782032089723e-01	1.268659360514715e-01	3.025777314460463e+00	1.049843919817081e+00	1.016814620618762e+00	1.112587495916987e-01	7.388418556673220e-01	
10	9.701499938960000e-01	-4.256268552403566e-03	1.029500878709740e+00	9.035256549333587e-01	1.263506954036694e-01	3.018251584249755e+00	1.045606141822462e+00	1.015643758490917e+00	1.017994237108533e-01	7.431637790540687e-01	
11	9.645400047300000e-01	-5.038225493362627e-03	1.026365485891729e+00	9.058246339849694e-01	1.257814449157013e-01	3.010321792760831e+00	1.041157679805186e+00	1.014412209019875e+00	9.186982099371982e-02	7.476837566948387e-01	
12	9.584699869160000e-01	-5.878077433056352e-03	1.023121586576551e+00	9.081918270900544e-01	1.251504546794113e-01	3.002133012645825e+00	1.036556988044293e+00	1.013131774017884e+00	8.160041974172513e-02	7.523816142918776e-01	
13	9.519400000570000e-01	-6.774428848839826e-03	1.019773419569850e+00	9.105759154905684e-01	1.244572498277921e-01	2.993669111253872e+00	1.031815532238717e+00	1.011808615951126e+00	7.101681303284951e-02	7.572136648945643e-01	
14	9.449599981310000e-01	-7.724467125531491e-03	1.016361045734521e+00	9.129403381936165e-01	1.237034782545540e-01	2.985030829775951e+00	1.026992429840058e+00	1.010460243581900e+00	6.025095946441445e-02	7.621166951496403e-01	
15	9.375399947170000e-01	-8.725349486403867e-03	1.012901263397591e+00	9.153140294569795e-01	1.228843007549282e-01	2.976277194336669e+00	1.022103481137707e+00	1.009085009637810e+00	4.933812753952553e-02	7.671037957267616e-01	
16	9.296900033950000e-01	-9.774221272349531e-03	1.009403259615909e+00	9.176482152483901e-01	1.220008524631765e-01	2.967412503789649e+00	1.017169145045893e+00	1.007693541065974e+00	3.832398447743889e-02	7.721255779529629e-01	
17	9.214000105860000e-01	-1.087086069705918e-02	1.005879823171106e+00	9.199633824489608e-01	1.210642397336263e-01	2.958483087190193e+00	1.012201974179569e+00	1.006285195172254e+00	2.723654950796585e-02	7.771917635418438e-01	
18	9.126999974250000e-01	-1.200973104171110e-02	1.002335054289268e+00	9.222301434525517e-01	1.200710111263927e-01	2.949489494308404e+00	1.007213689274859e+00	1.004867269646726e+00	1.610198498852528e-02	7.822724934739849e-01	
19	9.035800099370001e-01	-1.319055953446835e-02	9.987812305022157e-01	9.244552307840205e-01	1.190223860131681e-01	2.940467880648181e+00	1.002218363987319e+00	1.003441327670300e+00	4.951705328837066e-03	7.873638576348376e-01	
20	8.940600156780000e-01	-1.440916392228702e-02	9.952176190719543e-01	9.266284135122949e-01	1.179223863051952e-01	2.931413232048096e+00	9.972175318473456e-01	1.002009523080245e+00	-6.210866412174936e-03	7.924577994292411e-01	
21	8.841500282290000e-01	-1.566269158090452e-02	9.916692635311292e-01	9.287580947599460e-01	1.167688962586528e-01	2.922396043897500e+00	9.922409158799568e-01	1.000576454640524e+00	-1.731938419652506e-02	7.975394970658972e-01	
22	8.738499879840000e-01	-1.694956337677533e-02	9.881137687008142e-01	9.308217836547810e-01	1.155673936104379e-01	2.913347677017462e+00	9.872654434049636e-01	9.991414700182087e-01	-2.842534954249200e-02	8.026086187959335e-01	
23	8.631799817090000e-01	-1.826569132102762e-02	9.845747191007416e-01	9.328434344013411e-01	1.143195038934505e-01	2.904341073258921e+00	9.823156489522584e-01	9.977055371170345e-01	-3.947399787442316e-02	8.076660421054754e-01	
24	8.521599769590000e-01	-1.960709133914372e-02	9.810326837245941e-01	9.348106709391834e-01	1.130249889877055e-01	2.895314073118906e+00	9.773680146752945e-01	9.962644781258602e-01	-5.051782438550324e-02	8.127186462601473e-01	
25	8.407700061800000e-01	-2.097463226217677e-02	9.774883901618284e-01	9.367286526881325e-01	1.116957707967085e-01	2.886279453602917e+00	9.724254215543836e-01	9.948204309550863e-01	-6.155039831610802e-02	8.177706873508729e-01	
26	8.290500044819999e-01	-2.236196298315981e-02	9.739296056167935e-01	9.385874329923704e-01	1.103160920325552e-01	2.877186659171343e+00	9.674700306474620e-01	9.933675134916549e-01	-7.261153873334386e-02	8.228248041783095e-01	
27	8.170099854470000e-01	-2.376642068849115e-02	9.703822753599735e-01	9.404072239673620e-01	1.088952955098070e-01	2.868127913762453e+00	9.625355219836266e-01	9.919137503068718e-01	-8.362606700083354e-02	8.278743746519355e-01	
28	8.046399950980000e-01	-2.518763605296113e-02	9.668375189592050e-01	9.421748687157336e-01	1.074248275895941e-01	2.859068473162263e+00	9.576119400940487e-01	9.904579842173613e-01	-9.461620514721271e-02	8.329150620003281e-01	
29	7.919700145720000e-01	-2.662062628442961e-02	9.633349851738673e-01	9.438959971973219e-01	1.059233220301080e-01	2.850121460488664e+00	9.527493751851762e-01	9.890114963625241e-01	-1.054701446759460e-01	8.379143336216808e-01	
30	7.790099978450000e-01	-2.806276676215449e-02	9.598684539571321e-01	9.455519590472697e-01	1.043631446460071e-01	2.841253656706606e+00	9.479422555355035e-01	9.875751741059291e-01	-1.162003224653940e-01	8.428570322001975e-01	
31	7.657799720760000e-01	-2.951033727360171e-02	9.564273015953796e-01	9.471709832446880e-01	1.027283477217553e-01	2.832464633050082e+00	9.431782257271173e-01	9.861473257338412e-01	-1.268343175733989e-01	8.477756366485967e-01	
32	7.522799968720000e-01	-3.096181144522562e-02	9.528529995972971e-01	9.487611411823547e-01	1.010926171064570e-01	2.823303510642129e+00	9.382389559388372e-01	9.846628560075521e-01	-1.378594733508098e-01	8.528539248522755e-01	
