"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
199, 1.000000000000000e+00, 0.000000000000000e+00, 1.243861273286764e+00, 5.443331993008130e-01, 4.788367023423040e-01
0, 9.997500181200000e-01, -3.632563684475538e-05, 1.250518434634101e+00, 5.591929344511187e-01, 5.093853798957646e-01
1, 9.990000128750000e-01, -1.450443529794804e-04, 1.218627417418954e+00, 4.880076281673080e-01, 5.452408686585553e-01
2, 9.977599978450000e-01, -3.228299084656444e-04, 1.193132755118117e+00, 4.310998998172265e-01, 5.745419882796206e-01
3, 9.960200190539999e-01, -5.648157333729658e-04, 1.171827502516672e+00, 3.835435324032853e-01, 5.985127528141816e-01
4, 9.937800168990000e-01, -8.571635180905767e-04, 1.154811656754536e+00, 3.455617338270900e-01, 6.171603510509550e-01
5, 9.910500049590000e-01, -1.176750784259770e-03, 1.144535429379287e+00, 3.226237262930506e-01, 6.288351704827733e-01
6, 9.878399968150000e-01, -1.498049218731114e-03, 1.143586647137202e+00, 3.205059087883979e-01, 6.306883717285694e-01
7, 9.841300249100000e-01, -1.807681535753098e-03, 1.152735395759511e+00, 3.409272226774789e-01, 6.219316672190736e-01
8, 9.799500107769999e-01, -2.113889414747909e-03, 1.169461889927012e+00, 3.782631471585093e-01, 6.047137949860665e-01
9, 9.752799868580000e-01, -2.468791252132169e-03, 1.188508386310192e+00, 4.207776480138203e-01, 5.844777836114674e-01
10, 9.701499938960000e-01, -2.960772612385684e-03, 1.203353091863889e+00, 4.539131514818957e-01, 5.681005202646947e-01
11, 9.645400047300000e-01, -3.704672185648726e-03, 1.208757745005527e+00, 4.659771093873373e-01, 5.613932724153077e-01
12, 9.584699869160000e-01, -4.799806887524716e-03, 1.201428828993242e+00, 4.496179218599142e-01, 5.682690772239830e-01
13, 9.519400000570000e-01, -6.300119094165968e-03, 1.179887233303738e+00, 4.015340029101285e-01, 5.904420227720519e-01
14, 9.449599981310000e-01, -8.186763296573755e-03, 1.143975216041669e+00, 3.213732500930106e-01, 6.277667558386709e-01
15, 9.375399947170000e-01, -1.036896685427433e-02, 1.094996342501670e+00, 2.120454073697986e-01, 6.785894522032679e-01
16, 9.296900033950000e-01, -1.270568158335715e-02, 1.036342385883758e+00, 8.112139706196017e-02, 7.394929071267263e-01
17, 9.214000105860000e-01, -1.504413613250504e-02, 9.716636205115241e-01, -6.325084707249083e-02, 8.069138702280539e-01
18, 9.126999974250000e-01, -1.723436521113612e-02, 9.004767178120894e-01, -2.221501834551576e-01, 8.812902747332696e-01
19, 9.035800099370001e-01, -1.917386194738079e-02, 8.341756762470188e-01, -3.701435798057616e-01, 9.521004464787421e-01
20, 8.940600156780000e-01, -2.079920811638792e-02, 7.962138660586316e-01, -4.548797632619829e-01, 9.952552299618720e-01
21, 8.841500282290000e-01, -2.209510318884294e-02, 7.929363142044785e-01, -4.621957272221462e-01, 1.000431915993409e+00
22, 8.738499879840000e-01, -2.308381681255173e-02, 8.145511521072500e-01, -4.139483211891740e-01, 9.768870233964870e-01
23, 8.631799817090000e-01, -2.381057686627226e-02, 8.481742412203821e-01, -3.388967829902185e-01, 9.401646501218723e-01
24, 8.521599769590000e-01, -2.433530503003656e-02, 8.845151004972588e-01, -2.577787935329045e-01, 9.015926360531851e-01
25, 8.407700061800000e-01, -2.472353082780515e-02, 9.179885705133221e-01, -1.830612265327633e-01, 8.667918174850189e-01
26, 8.290500044819999e-01, -2.503557340971771e-02, 9.465608760108771e-01, -1.192837589042921e-01, 8.373249733707224e-01
27, 8.170099854470000e-01, -2.532607156229025e-02, 9.699672571916441e-01, -6.703737234008010e-02, 8.132294767782496e-01
28, 8.046399950980000e-01, -2.564091363580725e-02, 9.885135226170861e-01, -2.563945844400416e-02, 7.941677547532139e-01
29, 7.919700145720000e-01, -2.601545567352349e-02, 1.002704902591157e+00, 6.037728998117236e-03, 7.796069699230576e-01
30, 7.790099978450000e-01, -2.647639947279831e-02, 1.013061564964640e+00, 2.915527893892945e-02, 7.689459621879544e-01
31, 7.657799720760000e-01, -2.704188293123585e-02, 1.020085060538563e+00, 4.483272441643468e-02, 7.617075502457592e-01
32, 7.522799968720000e-01, -2.772390352827836e-02, 1.024271287379140e+00, 5.417698075700886e-02, 7.574298119814958e-01
33, 7.385200262070000e-01, -2.852837932360206e-02, 1.025962796889462e+00, 5.795267162826243e-02, 7.556537268763324e-01
34, 7.245299816130000e-01, -2.945506621286902e-02, 1.025540969557472e+00, 5.701109276221474e-02, 7.561580383880940e-01
35, 7.103199958800001e-01, -3.050076343296162e-02, 1.023247199679277e+00, 5.189107071267118e-02, 7.585300855718220e-01
36, 6.958900094030001e-01, -3.165999902358751e-02, 1.019364317174108e+00, 4.322392226363448e-02, 7.625838979821634e-01
37, 6.812700033190000e-01, -3.292236879931512e-02, 1.014094648677125e+00, 3.146126936858298e-02, 7.680472416209966e-01
38, 6.664699912070000e-01, -3.427697138351718e-02, 1.007653090429279e+00, 1.708279113678417e-02, 7.747147503694106e-01
