"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"
0	9.997500181200000e-01	-3.632563684475538e-05	1.166136508275906e+00	7.205696280690669e-01	1.025505662543640e-01	3.353429532702074e+00	1.250518434634101e+00	1.072360247500485e+00	5.591929344511187e-01	5.093853798957646e-01	
1	9.990000128750000e-01	-1.450443529794804e-04	1.144569993349422e+00	7.545412612391286e-01	1.057769244628589e-01	3.300166521842423e+00	1.218627417418954e+00	1.064703272407845e+00	4.880076281673080e-01	5.452408686585553e-01	
2	9.977599978450000e-01	-3.228299084656444e-04	1.127565807338595e+00	7.809582399533006e-01	1.087880272574488e-01	3.258527817637741e+00	1.193132755118117e+00	1.058149109659756e+00	4.310998998172265e-01	5.745419882796206e-01	
3	9.960200190539999e-01	-5.648157333729658e-04	1.113273620642084e+00	8.017614443201438e-01	1.068815001257797e-01	3.223407151694476e+00	1.171827502516672e+00	1.052596128021804e+00	3.835435324032853e-01	5.985127528141816e-01	
4	9.937800168990000e-01	-8.571635180905767e-04	1.101749701656896e+00	8.175255967550765e-01	1.005107220988979e-01	3.194925983422255e+00	1.154811656754536e+00	1.048161533438895e+00	3.455617338270900e-01	6.171603510509550e-01	
5	9.910500049590000e-01	-1.176750784259770e-03	1.094897702148275e+00	8.281080277492678e-01	8.938369984903206e-02	3.178150066458152e+00	1.144535429379287e+00	1.045335493109191e+00	3.226237262930506e-01	6.288351704827733e-01	
6	9.878399968150000e-01	-1.498049218731114e-03	1.094463430915989e+00	8.314053551554021e-01	7.587812492667637e-02	3.177383996960067e+00	1.143586647137202e+00	1.044883378314524e+00	3.205059087883979e-01	6.306883717285694e-01	
7	9.841300249100000e-01	-1.807681535753098e-03	1.100977355187769e+00	8.264947496958888e-01	6.455185502590882e-02	3.193952317182703e+00	1.152735395759511e+00	1.047010994665657e+00	3.409272226774789e-01	6.219316672190736e-01	
8	9.799500107769999e-01	-2.113889414747909e-03	1.112573625051390e+00	8.138877662327861e-01	6.075848614214732e-02	3.223007897795595e+00	1.169461889927012e+00	1.051132135073753e+00	3.782631471585093e-01	6.047137949860665e-01	
9	9.752799868580000e-01	-2.468791252132169e-03	1.125622506714530e+00	7.969299224517620e-01	6.873538651405425e-02	3.255478971053253e+00	1.188508386310192e+00	1.055867645876426e+00	4.207776480138203e-01	5.844777836114674e-01	
10	9.701499938960000e-01	-2.960772612385684e-03	1.135654386272754e+00	7.806604054751952e-01	8.967665505465616e-02	3.280240338190189e+00	1.203353091863889e+00	1.059612067200589e+00	4.539131514818957e-01	5.681005202646947e-01	
11	9.645400047300000e-01	-3.704672185648726e-03	1.139131255274211e+00	7.699906899524996e-01	1.210585932014509e-01	3.288562862209753e+00	1.208757745005527e+00	1.061122446960298e+00	4.659771093873373e-01	5.613932724153077e-01	
12	9.584699869160000e-01	-4.799806887524716e-03	1.133879031442345e+00	7.686913885188628e-01	1.581148121390190e-01	3.275156045518296e+00	1.201428828993242e+00	1.059574077725884e+00	4.496179218599142e-01	5.682690772239830e-01	
