"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"
0	9.997500181200000e-01	-3.633629069224024e-05	1.207709274125122e+00	5.671464251441610e-01	8.485006815901298e-02	3.453419874281103e+00	1.326908717069946e+00	1.098698789103175e+00	7.297069577454158e-01	3.828566716957228e-01	
1	9.990000128750000e-01	-1.457161831097492e-04	1.203452507077798e+00	6.059150712784696e-01	8.687835963188520e-02	3.448337019781037e+00	1.317067137061902e+00	1.094407240265743e+00	7.077391452274600e-01	4.109115399665295e-01	
2	9.977599978450000e-01	-3.301809216226233e-04	1.197099534644609e+00	6.168051501036840e-01	9.321413385767817e-02	3.431889854647202e+00	1.307742556307646e+00	1.092425916526553e+00	6.869253489009959e-01	4.213677053604069e-01	
3	9.960200190539999e-01	-6.043541039367102e-04	1.195568614088003e+00	6.207534519287942e-01	1.046450490219323e-01	3.428733533651451e+00	1.305201035140059e+00	1.091698978845882e+00	6.812523105804882e-01	4.259063151293785e-01	
4	9.937800168990000e-01	-9.991695365788259e-04	1.194830909876026e+00	6.200968694850741e-01	1.197737718531440e-01	3.426617356208991e+00	1.303881698854185e+00	1.091268804712689e+00	6.783073635138064e-01	4.276388062533921e-01	
5	9.910500049590000e-01	-1.565814407190676e-03	1.193921352453952e+00	6.187922074706109e-01	1.440810547905649e-01	3.423597292496004e+00	1.301819195557582e+00	1.090372655520282e+00	6.737035615124592e-01	4.307074040168852e-01	
6	9.878399968150000e-01	-2.371554649880724e-03	1.188950206409527e+00	6.193801676219313e-01	1.721355545966693e-01	3.409593517499939e+00	1.294320207882331e+00	1.088624402354921e+00	6.569647497373461e-01	4.379719040749358e-01	
7	9.841300249100000e-01	-3.491355378055118e-03	1.179169558318387e+00	6.284431732587588e-01	2.078106343451689e-01	3.384352987528845e+00	1.279430239700363e+00	1.085026517751152e+00	6.237282136168806e-01	4.554483163537648e-01	
8	9.799500107769999e-01	-4.957971055330223e-03	1.163050259250913e+00	6.452360268549523e-01	2.372448454072409e-01	3.341250811445070e+00	1.255228746971697e+00	1.079255807724211e+00	5.697070244903950e-01	4.808713368677550e-01	
9	9.752799868580000e-01	-6.765263200690748e-03	1.139588252117320e+00	6.791856804647973e-01	2.690131239660042e-01	3.283736671903680e+00	1.219836060325863e+00	1.070418248046560e+00	4.907054917988016e-01	5.236536088645455e-01	
10	9.701499938960000e-01	-8.823640039498589e-03	1.111241005256748e+00	7.159188818413248e-01	2.808342029952335e-01	3.209400128321038e+00	1.177319109687271e+00	1.059463342441414e+00	3.958015841233719e-01	5.682353419882259e-01	
11	9.645400047300000e-01	-1.101356973443617e-02	1.078458511707732e+00	7.653194041325092e-01	2.854050682938061e-01	3.131396872818298e+00	1.128832182716698e+00	1.046708955849586e+00	2.875718364212010e-01	6.256591112962271e-01	
12	9.584699869160000e-01	-1.318908903608857e-02	1.050415108148888e+00	8.068027056730789e-01	2.689565859352143e-01	3.060728879724245e+00	1.086580613540016e+00	1.034429726981805e+00	1.932602980803939e-01	6.727817884140073e-01	
13	9.519400000570000e-01	-1.524663827131745e-02	1.029266486254363e+00	8.409328711582899e-01	2.459016634114438e-01	3.011914186615070e+00	1.055603969273385e+00	1.025588594762148e+00	1.241160028423781e-01	7.103937747974768e-01	
14	9.449599981310000e-01	-1.714447642469275e-02	1.022975239211166e+00	8.586387615181083e-01	2.178564223061564e-01	2.996800672046234e+00	1.045300730702106e+00	1.021824078076568e+00	1.011177024600586e-01	7.240035452105558e-01	
15	9.375399947170000e-01	-1.890989371352298e-02	1.023540536355174e+00	8.657091173406449e-01	1.972270583281697e-01	3.000535093135002e+00	1.046170155183473e+00	1.022109157404634e+00	1.030583821059675e-01	7.251737057017237e-01	
16	9.296900033950000e-01	-2.061680121273815e-02	1.029368117648818e+00	8.646352121086711e-01	1.852563921090459e-01	3.015736628017171e+00	1.054373493473435e+00	1.024291966494680e+00	1.213694050746317e-01	7.173529280048921e-01	
17	9.214000105860000e-01	-2.235579662254902e-02	1.031754786216215e+00	8.607473400363027e-01	1.826262425723565e-01	3.021133883690882e+00	1.058371704921028e+00	1.025797717694556e+00	1.302939841987226e-01	7.116491895874109e-01	
