"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
199, 1.000000000000000e+00, 0.000000000000000e+00, 1.270266668639043e+00, 6.032738139264346e-01, 4.316480191315896e-01
0, 9.997500181200000e-01, -3.633608776185482e-05, 1.280682862147438e+00, 6.265242458648179e-01, 4.413592083953420e-01
1, 9.990000128750000e-01, -1.457031549977122e-04, 1.263353582029921e+00, 5.878428170310744e-01, 4.642412330594214e-01
2, 9.977599978450000e-01, -3.300337288513341e-04, 1.253453693432825e+00, 5.657448514125565e-01, 4.777530433618860e-01
3, 9.960200190539999e-01, -6.035220021201164e-04, 1.249282316986799e+00, 5.564337432741040e-01, 4.839929004636884e-01
4, 9.937800168990000e-01, -9.959587331705815e-04, 1.246754124273931e+00, 5.507904559685961e-01, 4.873491220586788e-01
5, 9.910500049590000e-01, -1.556112864926730e-03, 1.242117571528364e+00, 5.404410078758127e-01, 4.933998396315025e-01
6, 9.878399968150000e-01, -2.346798380094724e-03, 1.230331647375717e+00, 5.141331414636543e-01, 5.067182335171293e-01
7, 9.841300249100000e-01, -3.435201549878490e-03, 1.207228435208535e+00, 4.625634714476237e-01, 5.322514486364507e-01
8, 9.799500107769999e-01, -4.842211662023644e-03, 1.168423167422562e+00, 3.759445701396474e-01, 5.738806703860432e-01
9, 9.752799868580000e-01, -6.543362222676533e-03, 1.112502205179406e+00, 2.511209937040303e-01, 6.327025043571295e-01
10, 9.701499938960000e-01, -8.424591256442052e-03, 1.041474943591119e+00, 9.257799908731877e-02, 7.056846649536119e-01
11, 9.645400047300000e-01, -1.033267584759369e-02, 9.354863434461568e-01, -1.440036976648286e-01, 8.102750007407505e-01
12, 9.584699869160000e-01, -1.208221747866559e-02, 7.722089673194555e-01, -5.084621265190725e-01, 9.887482753814402e-01
13, 9.519400000570000e-01, -1.352466166853726e-02, 6.769055572865967e-01, -7.211929524852752e-01, 1.116906561805080e+00
14, 9.449599981310000e-01, -1.457397197547032e-02, 6.848418000778180e-01, -7.034781248262990e-01, 1.126193465406953e+00
