"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"
0	9.997500181200000e-01	-3.632896519016437e-05	1.103803729031954e+115	1.432031482130728e+116	4.297364188325453e+116	1.154048944975941e+118	8.984962300190878e+116	8.139999950961187e+01	2.005571942006892e+117	3.844147110105614e+00	
1	9.990000128750000e-01	-1.452537504052920e-04	1.300973248595815e+115	1.669310528167824e+116	4.386434927550792e+116	1.258376154199150e+118	1.647207621548709e+117	1.266134890418844e+02	3.676802726671227e+117	2.709625903432328e+00	
2	9.977599978450000e-01	-3.251111630156300e-04	4.100516148936255e+114	3.749339877421631e+115	4.848588656191119e+115	3.045716681865291e+117	1.035059195477848e+117	2.524216849496765e+02	2.310399989905910e+117	7.951218561213405e-01	
3	9.960200190539999e-01	-5.769983605901485e-04	4.250174399975664e+114	3.713929796542270e+115	4.333809393272479e+115	3.173490534588076e+117	1.116107546946418e+117	2.626027644778080e+02	2.491311488719684e+117	7.003626633376728e-01	
4	9.937800168990000e-01	-9.004365425509819e-04	8.661744856839091e+113	-1.227108741300185e+114	-4.411649280925495e+114	5.907682421173321e+116	2.314656753059082e+116	2.672275380209900e+02	5.166644538078307e+116	2.733210654023249e-01	
5	9.910500049590000e-01	-1.293363843462116e-03	7.084856823745604e+113	-6.407104032443806e+113	-2.768295283910765e+114	4.685044528967259e+116	1.851225625941916e+116	2.612933009086859e+02	4.132200057906063e+116	2.096931744894134e-01	
6	9.878399968150000e-01	-1.753609743384430e-03	1.546122264805979e+113	-9.663273787370205e+113	-1.474066368388677e+114	1.106449285835118e+116	4.023932383738010e+115	2.602596492744363e+02	8.981991927986628e+115	5.972217406175298e-01	
7	9.841300249100000e-01	-2.283176811071472e-03	9.941176688904167e+112	-3.895231293885683e+113	-1.132870756652169e+114	8.007933870348381e+115	2.914450298464465e+115	2.931695502120414e+02	6.505469416215324e+115	5.948172245229411e-01	
8	9.799500107769999e-01	-2.876826092032643e-03	3.417705372769948e+112	-4.997044536057984e+113	-3.388825150554180e+113	2.724787128035241e+115	8.765869834182238e+114	2.564840698096151e+02	1.956667373701393e+115	9.322819414721935e-01	
9	9.752799868580000e-01	-3.536324145770189e-03	1.687945866058541e+112	-2.608278082094572e+113	-2.003256262100716e+113	1.785856662297437e+115	5.861851164729801e+114	3.472772013961319e+02	1.308448920698616e+115	8.836406495648933e-01	
10	9.701499938960000e-01	-4.256268552403566e-03	1.065848272082090e+112	-2.749934688053034e+113	2.932208158565516e+112	7.527810179277207e+114	1.576000623892435e+114	1.478635060142082e+02	3.517858535474186e+114	1.803380718335086e+00	
11	9.645400047300000e-01	-5.038225493362627e-03	6.566668784601530e+111	-2.133827932156506e+113	4.547526797620096e+112	5.340353310498069e+114	6.863890068708368e+113	1.045262109884970e+02	1.532118318908118e+114	2.746519776224882e+00	
12	9.584699869160000e-01	-5.878077433056352e-03	6.598451750433710e+111	-1.940993057280917e+113	6.368796781342607e+112	4.500468900557891e+114	5.353242466257422e+113	8.112876578821023e+01	1.194920193361032e+114	2.904920994176427e+00	
13	9.519400000570000e-01	-6.774428848839826e-03	5.477496204124514e+111	-1.907442122631603e+113	5.319438166661285e+112	4.311218937857984e+114	2.927021282355449e+113	5.343721242839793e+01	6.533529648114842e+113	4.179718333372206e+00	
14	9.449599981310000e-01	-7.724467125531491e-03	5.936447538951066e+111	-1.683157715948716e+113	3.253442411811607e+112	3.971436349173615e+114	5.984642918336761e+113	1.008118555595660e+02	1.335857794271598e+114	2.430768729396676e+00	
15	9.375399947170000e-01	-8.725349486403867e-03	6.007737871234227e+111	-1.880992770855012e+113	1.565931215649819e+112	4.381683390888186e+114	5.666511676080912e+113	9.432022164636798e+01	1.264846356268061e+114	2.734069168016680e+00	
16	9.296900033950000e-01	-9.774221272349531e-03	5.541517563924638e+111	-1.629632272977524e+113	9.106448337959923e+111	3.803193707930120e+114	5.598101397837578e+113	1.010210891377716e+02	1.249576204874460e+114	2.476668457005104e+00	
17	9.214000105860000e-01	-1.087086069705918e-02	5.480314498294937e+111	-1.690617564602752e+113	5.496014387803719e+111	3.880812324095151e+114	5.081482247979907e+113	9.272245688748126e+01	1.134259430352658e+114	2.709023534701865e+00	
18	9.126999974250000e-01	-1.200973104171110e-02	4.894094012980005e+111	-1.467937138057146e+113	7.242410226645542e+110	3.376422033293173e+114	4.699597003422672e+113	9.602588325762663e+01	1.049017188263989e+114	2.586915618863056e+00	
19	9.035800099370001e-01	-1.319055953446835e-02	4.733371157938329e+111	-1.448577049030911e+113	-2.838481744522788e+110	3.288815688865808e+114	4.288924351222432e+113	9.061035376508525e+01	9.573491855407213e+113	2.717183338151953e+00	
20	8.940600156780000e-01	-1.440916392228702e-02	4.363153078172864e+111	-1.339328869694942e+113	-8.000246556977993e+111	3.045370159083224e+114	3.929639898948375e+113	9.006422255975423e+01	8.771517631581193e+113	2.738545907989473e+00	
21	8.841500282290000e-01	-1.566269158090452e-02	4.020927706245800e+111	-1.240553013792275e+113	-6.578990741471212e+111	2.781783880013648e+114	3.450797099199681e+113	8.582091873573053e+01	7.702672096427860e+113	2.818631678438697e+00	
22	8.738499879840000e-01	-1.694956337677533e-02	3.616102326373820e+111	-1.126243521935590e+113	-1.043623620391697e+112	2.529021979762977e+114	3.040425463475557e+113	8.408018327635261e+01	6.786663980972227e+113	2.882951638408387e+00	
23	8.631799817090000e-01	-1.826569132102762e-02	3.317530057050745e+111	-1.024588398168109e+113	-7.940551337633391e+111	2.268781039291320e+114	2.708419994405697e+113	8.163965202514125e+01	6.045580344655574e+113	2.897479112265775e+00	
24	8.521599769590000e-01	-1.960709133914372e-02	3.081305832836861e+111	-9.715714978115480e+112	-1.177049248934487e+112	2.153873302974930e+114	2.398611950086604e+113	7.784400771014275e+01	5.354044531443312e+113	3.042476792346042e+00	
25	8.407700061800000e-01	-2.097463226217677e-02	2.801209920355739e+111	-8.786987787143099e+112	-1.031022718361217e+112	1.925214857753566e+114	2.112262757242772e+113	7.540537186782940e+01	4.714872225988331e+113	3.073961312866417e+00	
26	8.290500044819999e-01	-2.236196298315981e-02	2.519733477669031e+111	-8.050397473498921e+112	-1.004883100799459e+112	1.757967533156236e+114	1.807612082247483e+113	7.173822542214579e+01	4.034848397873846e+113	3.212777701369390e+00	
27	8.170099854470000e-01	-2.376642068849115e-02	2.372649775001461e+111	-7.565066512470623e+112	-9.925049292063141e+111	1.640189014077234e+114	1.653559217907666e+113	6.969251152571174e+01	3.690980397115327e+113	3.255576068987011e+00	
28	8.046399950980000e-01	-2.518763605296113e-02	2.151476354036001e+111	-6.938535174889159e+112	-9.916960324502461e+111	1.499259724511516e+114	1.430246304505000e+113	6.647743545133417e+01	3.192514072555803e+113	3.376923413323423e+00	
29	7.919700145720000e-01	-2.662062628442961e-02	1.970686903729047e+111	-6.339523554285074e+112	-9.204125342892965e+111	1.363476594349314e+114	1.289194260930648e+113	6.541852277452908e+01	2.877665761005912e+113	3.396677354153038e+00	
30	7.790099978450000e-01	-2.806276676215449e-02	1.946802553881965e+111	-6.345895476333926e+112	-8.844071521794592e+111	1.350468481653221e+114	1.184439002303598e+113	6.084022234005202e+01	2.643837058713388e+113	3.566061506214259e+00	
31	7.657799720760000e-01	-2.951033727360171e-02	1.409100477168507e+111	-4.476120923571242e+112	-5.903404026731874e+111	9.622852308031192e+113	9.559249114740927e+112	6.783937178099322e+01	2.133760963111814e+113	3.287755587659767e+00	
32	7.522799968720000e-01	-3.096181144522562e-02	1.924472416409748e+111	-6.459750761830814e+112	-1.068548984522454e+112	1.365916094976435e+114	1.008398981269849e+113	5.239872354996369e+01	2.250890583191628e+113	3.972295745703879e+00	
33	7.385200262070000e-01	-3.241453277608040e-02	9.529439039925094e+110	-2.850158355141341e+112	-2.417220535260589e+111	5.906187846318139e+113	6.453053940619693e+112	6.771703888952543e+01	1.440413826031182e+113	3.082797162514371e+00	
34	7.245299816130000e-01	-3.386376679305321e-02	1.797809273312428e+111	-6.057471667426190e+112	-1.029925920835705e+112	1.257260339277466e+114	8.290729884386084e+112	4.611573656592936e+01	1.850609349193322e+113	4.253511498725585e+00	
35	7.103199958800001e-01	-3.530689307158652e-02	8.762880041539587e+110	-2.613065488938296e+112	-1.668071942645337e+111	5.236337277311666e+113	5.297671959636400e+112	6.045583112542108e+01	1.182516062418839e+113	3.247905551286558e+00	
36	6.958900094030001e-01	-3.674225211597043e-02	1.627692979601030e+111	-5.483550282690250e+112	-9.102988378714930e+111	1.119991164084156e+114	6.834295524503850e+112	4.198762057804679e+01	1.525512393862467e+113	4.454180549040291e+00	
37	6.812700033190000e-01	-3.816515293304169e-02	8.031729543197360e+110	-2.389547667122288e+112	-1.725427910125003e+111	4.687771112562021e+113	4.458498931002567e+112	5.551106902969343e+01	9.952006542416444e+112	3.383623640845677e+00	
38	6.664699912070000e-01	-3.957289370556494e-02	1.387193863221595e+111	-4.647565679384563e+112	-7.565702071520113e+111	9.401217437032570e+113	5.637794618413589e+112	4.064172116015907e+01	1.258436298753033e+113	4.500054876135273e+00	
39	6.514999866490000e-01	-4.096270419333766e-02	1.027645559104787e+111	-3.303986399532460e+112	-4.611891535301292e+111	6.512529210598928e+113	4.390856088475598e+112	4.272733968996667e+01	9.801018054633030e+112	4.197282471192432e+00	
40	6.363800168040000e-01	-4.233084266562091e-02	1.048123633312539e+111	-3.461620143375930e+112	-5.121129776112270e+111	6.938697180518630e+113	4.389083895509501e+112	4.187563142372846e+01	9.797062266762279e+112	4.360371438181699e+00	
41	6.211299896240000e-01	-4.367359094194759e-02	1.168457143700289e+111	-3.937922855052901e+112	-6.564351402700313e+111	7.746250439905292e+113	3.704337523607931e+112	3.170281035620165e+01	8.268610543767703e+112	5.128533291950251e+00	
42	6.057599782940000e-01	-4.498807223669178e-02	8.147861081660889e+110	-2.675906260786510e+112	-3.469968919654621e+111	5.302292570926547e+113	3.337286886141021e+112	4.095905480829256e+01	7.449301085136208e+112	4.373301051182620e+00	
43	5.902799963950000e-01	-4.627132533375768e-02	1.115781371884685e+111	-3.837116877116982e+112	-6.729555758984195e+111	7.574423954680812e+113	3.094633429979210e+112	2.773512363584286e+01	6.907663906203594e+112	5.603060046931929e+00	
44	5.747100114820000e-01	-4.751950934859488e-02	9.670950435230009e+110	-3.267963232869488e+112	-5.241689537865706e+111	6.435783980782898e+113	3.089029986252247e+112	3.194132786576297e+01	6.895156219313052e+112	5.117800893417831e+00	
45	5.590599775310000e-01	-4.872955796694115e-02	9.151908247955172e+110	-3.150338156793224e+112	-5.239091865874932e+111	6.192878605236513e+113	2.483023186963449e+112	2.713120717221173e+01	5.542462470900557e+112	5.662013913673909e+00	
46	5.433599948880000e-01	-4.989683951066199e-02	6.917949216419225e+110	-2.326210327200689e+112	-3.252087560509730e+111	4.563023010846573e+113	2.302234509615616e+112	3.327914729630334e+01	5.138916316106286e+112	4.974215639910640e+00	
47	5.276100039480000e-01	-5.101897737545535e-02	7.553116068288317e+110	-2.593272968814281e+112	-4.107139339982027e+111	5.052910296406069e+113	1.957584014951470e+112	2.591756828907169e+01	4.369607176230961e+112	5.770859255454590e+00	
