"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
149, 4.960500001910000e-01, 1.327671252794183e-01, 5.031109081708638e+111, 1.123015420024250e+112, 5.077010438699494e+00
150, 5.118399858470000e-01, 1.318500548338407e-01, 4.973803627796932e+111, 1.110224024061815e+112, 4.940321956495806e+00
151, 5.276100039480000e-01, 1.311930694651647e-01, 5.596774771438437e+111, 1.249280082910365e+112, 4.709116703714851e+00
152, 5.433599948880000e-01, 1.307376226715467e-01, 4.858672491650391e+111, 1.084525109743391e+112, 4.791464620763747e+00
153, 5.590599775310000e-01, 1.304072984613042e-01, 6.699628785779423e+111, 1.495452853968621e+112, 4.468876947997100e+00
154, 5.747100114820000e-01, 1.301073642603410e-01, 6.851586548970082e+111, 1.529371997537965e+112, 4.314286206504192e+00
155, 5.902799963950000e-01, 1.297288266233926e-01, 8.700839503509802e+111, 1.942151674890581e+112, 4.045283193523519e+00
156, 6.057599782940000e-01, 1.291511789505700e-01, 1.022066754511993e+112, 2.281399005607128e+112, 3.983137688830047e+00
157, 6.211299896240000e-01, 1.282478998932214e-01, 1.379295923571273e+112, 3.078785543685877e+112, 3.665622971981060e+00
158, 6.363800168040000e-01, 1.268909793087002e-01, 1.827138946206935e+112, 4.078435147783337e+112, 3.748000245094735e+00
159, 6.514999866490000e-01, 1.249563896654068e-01, 2.591885562534250e+112, 5.785458844942521e+112, 3.384497033492137e+00
160, 6.664699912070000e-01, 1.223312107486829e-01, 3.163584896644928e+112, 7.061573430011000e+112, 3.338133159185594e+00
161, 6.812700033190000e-01, 1.189185786530556e-01, 4.848400911457944e+112, 1.082232346307577e+113, 3.274439036601422e+00
162, 6.958900094030001e-01, 1.146386834084472e-01, 6.286434048444534e+112, 1.403221885813512e+113, 3.202183838612360e+00
163, 7.103199958800001e-01, 1.094320097369969e-01, 8.384119551081872e+112, 1.871455256937918e+113, 3.006814099577203e+00
164, 7.245299816130000e-01, 1.032695920215449e-01, 1.177367062061417e+113, 2.628051477815662e+113, 2.787048710148901e+00
165, 7.385200262070000e-01, 9.613311701309454e-02, 1.581005022040576e+113, 3.529029067054856e+113, 2.672432136455685e+00
166, 7.522799968720000e-01, 8.802805891097162e-02, 2.173455606920532e+113, 4.851463408304759e+113, 2.485474187601091e+00
167, 7.657799720760000e-01, 7.899437898273363e-02, 2.797807888914015e+113, 6.245106894897355e+113, 2.302422223533054e+00
168, 7.790099978450000e-01, 6.908493622396777e-02, 3.530612800977168e+113, 7.880832145038322e+113, 2.151260918508260e+00
169, 7.919700145720000e-01, 5.837108114771325e-02, 4.341748256086048e+113, 9.691402357334929e+113, 2.003725833692600e+00
170, 8.046399950980000e-01, 4.697558537203825e-02, 5.187246210155578e+113, 1.157867457624013e+114, 1.935417694536169e+00
171, 8.170099854470000e-01, 3.506162197980520e-02, 5.510373153222494e+113, 1.229994007415735e+114, 1.740073850584264e+00
172, 8.290500044819999e-01, 2.287402789145688e-02, 5.965604747982700e+113, 1.331608202674710e+114, 1.681359062123624e+00
173, 8.407700061800000e-01, 1.068950129787965e-02, 6.430696242030475e+113, 1.435423268310374e+114, 1.644216945598206e+00
174, 8.521599769590000e-01, -1.120655756211040e-03, 8.374439427590206e+113, 1.869294515087099e+114, 1.536674502599580e+00
175, 8.631799817090000e-01, -1.208928606863621e-02, 1.221469319574094e+114, 2.726494016906460e+114, 1.292081931139933e+00
176, 8.738499879840000e-01, -2.177272488702847e-02, 1.412039182878444e+114, 3.151873176067956e+114, 1.263633245006886e+00
