"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"
0	9.997500181200000e-01	-3.632544925910929e-05	1.176575356322866e+00	6.431622012722457e-01	8.473466229106436e-02	3.377147659744629e+00	1.279323045762272e+00	1.087327759235518e+00	6.234889414336433e-01	4.468824032997836e-01	
1	9.990000128750000e-01	-1.450316386285464e-04	1.160507095883000e+00	6.963729246819473e-01	9.670270583617209e-02	3.343230255668588e+00	1.252107502311149e+00	1.078931362637169e+00	5.627399605159565e-01	4.929248575061886e-01	
2	9.977599978450000e-01	-3.226727127489234e-04	1.145158622514684e+00	7.273036883563442e-01	9.994104173473307e-02	3.305738231204581e+00	1.228167045735324e+00	1.072486397594737e+00	5.093014413734915e-01	5.231813437578974e-01	
3	9.960200190539999e-01	-5.638106299071996e-04	1.130027760787052e+00	7.519329752376761e-01	1.000329598286846e-01	3.270271567351431e+00	1.206268687733927e+00	1.067468189360034e+00	4.604211779775167e-01	5.491083182558256e-01	
4	9.937800168990000e-01	-8.526725397976209e-04	1.117632562345009e+00	7.744083883928239e-01	9.324266668791963e-02	3.239792111803620e+00	1.187043397865587e+00	1.062105237319625e+00	4.175075845213990e-01	5.723328480219760e-01	
5	9.910500049590000e-01	-1.160899118270904e-03	1.107292031985913e+00	7.930270671690171e-01	8.048946048680837e-02	3.216285517926952e+00	1.171753066629992e+00	1.058215026191843e+00	3.833773808705189e-01	5.914259318484926e-01	
6	9.878399968150000e-01	-1.451113433489742e-03	1.101305299445800e+00	8.055061762474202e-01	6.197850411191585e-02	3.202244371929523e+00	1.162369029210915e+00	1.055446686578049e+00	3.624308687743629e-01	6.034770598941969e-01	
7	9.841300249100000e-01	-1.686459083952324e-03	1.101498393777049e+00	8.088516839436946e-01	4.017326106260023e-02	3.204555498867961e+00	1.162738060845171e+00	1.055596692118752e+00	3.632546001008276e-01	6.047933397415521e-01	
8	9.799500107769999e-01	-1.837566022934147e-03	1.108221067467059e+00	8.045560080427171e-01	2.095953659203270e-02	3.222656736649094e+00	1.172163694763835e+00	1.057698440477154e+00	3.842939615264184e-01	5.968047199738475e-01	
9	9.752799868580000e-01	-1.902868925348373e-03	1.119886237725655e+00	7.892891529355407e-01	6.856829298805696e-03	3.252346971251352e+00	1.189673132746967e+00	1.062316057355112e+00	4.233775284530518e-01	5.779466136003654e-01	
10	9.701499938960000e-01	-1.913092101239578e-03	1.133255394121625e+00	7.711351236168075e-01	3.582309497798132e-03	3.286664773136419e+00	1.209718301698238e+00	1.067471911427238e+00	4.681212091478537e-01	5.566281041655492e-01	
11	9.645400047300000e-01	-1.931254194288119e-03	1.146274190887291e+00	7.484012334212113e-01	9.144296936159617e-03	3.318129957049606e+00	1.229511315044844e+00	1.072615369707593e+00	5.123020425108120e-01	5.328345411374813e-01	
12	9.584699869160000e-01	-2.039795471308013e-03	1.156093905369614e+00	7.296981928334272e-01	2.408730521956780e-02	3.342577845784823e+00	1.244817236238787e+00	1.076744052067992e+00	5.464670451758634e-01	5.143590525430001e-01	
13	9.519400000570000e-01	-2.323733437762065e-03	1.163066771703616e+00	7.132762549552317e-01	4.406328311271605e-02	3.358549923471401e+00	1.255599630741352e+00	1.079559369495354e+00	5.705348900476616e-01	4.997961983793570e-01	
14	9.449599981310000e-01	-2.855441779841277e-03	1.165792831186587e+00	7.030398499164646e-01	6.741500341304066e-02	3.364906776600411e+00	1.260388361594281e+00	1.081142659207650e+00	5.812240214158069e-01	4.924255677400625e-01	
15	9.375399947170000e-01	-3.686672692489323e-03	1.166111199140307e+00	6.974581831537572e-01	9.163254037684085e-02	3.364397266918569e+00	1.260888023086889e+00	1.081275974380878e+00	5.823393372475193e-01	4.903002183365296e-01	
16	9.296900033950000e-01	-4.847795132739557e-03	1.162808535895745e+00	6.967166595288792e-01	1.155817553208614e-01	3.355554030119364e+00	1.256433929823016e+00	1.080516603582678e+00	5.723971647835190e-01	4.938142560731882e-01	
17	9.214000105860000e-01	-6.354468621617319e-03	1.157598641351227e+00	7.009103938188144e-01	1.388369383195228e-01	3.341989286729071e+00	1.248587063200946e+00	1.078601009537738e+00	5.548818375021124e-01	5.023046057104276e-01	
18	9.126999974250000e-01	-8.199286815639657e-03	1.149306562944635e+00	7.081335546690765e-01	1.595800277425436e-01	3.320699602429293e+00	1.236586478471018e+00	1.075941370510200e+00	5.280948180156654e-01	5.146093671787088e-01	
19	9.035800099370001e-01	-1.036659728215263e-02	1.139343443937299e+00	7.203265423335381e-01	1.790518877520723e-01	3.295685696826636e+00	1.221564211361698e+00	1.072165041947548e+00	4.945629717895055e-01	5.317391989392959e-01	
20	8.940600156780000e-01	-1.281827618452066e-02	1.126833066138120e+00	7.334836667931134e-01	1.936696957162365e-01	3.263059375914752e+00	1.203077965371595e+00	1.067662994213315e+00	4.532990298473109e-01	5.506610051443221e-01	
21	8.841500282290000e-01	-1.550322135126808e-02	1.112996380206388e+00	7.520824094227033e-01	2.065897722782105e-01	3.228867388354898e+00	1.182237114736688e+00	1.062211104871213e+00	4.067792739658208e-01	5.746432639148067e-01	
22	8.738499879840000e-01	-1.836233985994869e-02	1.097657801078847e+00	7.691760171500130e-01	2.132925634366005e-01	3.189229495359752e+00	1.159603621601101e+00	1.056434546778941e+00	3.562580839310285e-01	5.979435666046580e-01	
23	8.631799817090000e-01	-2.132685897167104e-02	1.082363187300709e+00	7.893484698539088e-01	2.177203202005178e-01	3.152068209823391e+00	1.136936680007209e+00	1.050420684430889e+00	3.056622321589495e-01	6.238382942041202e-01	
