"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"C<sub>p</sub>"	"Mach"
0	9.997500181200000e-01	-3.633001519775275e-05	1.191297685354566e+00	7.375706460330409e-01	1.005968825162625e-01	3.425940496622009e+00	1.277346522275905e+00	1.072231179476966e+00	6.190770586515744e-01	5.100084532266701e-01	
1	9.990000128750000e-01	-1.453200304072610e-04	1.169103402848267e+00	7.632363588896045e-01	1.087186519638053e-01	3.369528068463620e+00	1.246135108170007e+00	1.065889557017856e+00	5.494087235937655e-01	5.398186679897742e-01	
2	9.977599978450000e-01	-3.258377434838594e-04	1.155618589668371e+00	7.847266326174250e-01	1.135615263201091e-01	3.336593429184113e+00	1.225831211263980e+00	1.060757608282988e+00	5.040875251428134e-01	5.630311063410118e-01	
3	9.960200190539999e-01	-5.809183586127223e-04	1.145281740677053e+00	8.003956228024077e-01	1.175288308162768e-01	3.311357143972699e+00	1.210257235836757e+00	1.056733197476189e+00	4.693241871356177e-01	5.807349157443561e-01	
4	9.937800168990000e-01	-9.145817858749695e-04	1.136813030929764e+00	8.117071659753279e-01	1.222978044939790e-01	3.290518550100941e+00	1.197661052617292e+00	1.053525091665921e+00	4.412077067350277e-01	5.945633654493286e-01	
5	9.910500049590000e-01	-1.332385227456273e-03	1.129338937606822e+00	8.211654256257315e-01	1.279234914606014e-01	3.272133495243771e+00	1.186538112064040e+00	1.050648368308657e+00	4.163797144286606e-01	6.067649780136940e-01	
6	9.878399968150000e-01	-1.842073421363994e-03	1.121518058680060e+00	8.297092447010066e-01	1.344737946878065e-01	3.252703249113201e+00	1.175091240594149e+00	1.047768452321794e+00	3.908286620405115e-01	6.188043095441790e-01	
7	9.841300249100000e-01	-2.456015482179059e-03	1.112737980006386e+00	8.388208178822600e-01	1.414134478820259e-01	3.230850890180142e+00	1.162279525803570e+00	1.044522202609549e+00	3.622310843829684e-01	6.321773790613391e-01	
8	9.799500107769999e-01	-3.174227402182653e-03	1.102494038083903e+00	8.489985469379453e-01	1.476611886669208e-01	3.205285808040292e+00	1.147401148597615e+00	1.040732293293630e+00	3.290204209768187e-01	6.475426519603851e-01	
9	9.752799868580000e-01	-3.996972098131755e-03	1.090916523707306e+00	8.603223372173074e-01	1.519294808041487e-01	3.176360250584339e+00	1.130618253577984e+00	1.036393004421419e+00	2.915586017365716e-01	6.648320684283000e-01	
10	9.701499938960000e-01	-4.906156446426000e-03	1.078619387367936e+00	8.721792389137877e-01	1.532710459854988e-01	3.145596396506844e+00	1.112832561359667e+00	1.031719413161317e+00	2.518583958921129e-01	6.831203635607647e-01	
11	9.645400047300000e-01	-5.884990109066561e-03	1.066659485733051e+00	8.835677660153787e-01	1.514090775816760e-01	3.115635695052340e+00	1.095575131270881e+00	1.027108600190208e+00	2.133373465867880e-01	7.008522593000700e-01	
12	9.584699869160000e-01	-6.907634183769141e-03	1.056206737938169e+00	8.934996385706024e-01	1.469069885891768e-01	3.089429354218577e+00	1.080513639656626e+00	1.023013393917470e+00	1.797179456621120e-01	7.163627483530532e-01	
13	9.519400000570000e-01	-7.956250155227294e-03	1.047982145236209e+00	9.013290017891464e-01	1.409953215665176e-01	3.068789682100485e+00	1.068682317525704e+00	1.019752409316888e+00	1.533087444770181e-01	7.285641563160106e-01	
14	9.449599981310000e-01	-9.020394818243961e-03	1.042029605709577e+00	9.069908811118711e-01	1.350351512487169e-01	3.053829555205000e+00	1.060141599407807e+00	1.017381457877001e+00	1.342446415352824e-01	7.373567436960029e-01	
15	9.375399947170000e-01	-1.009948359252535e-02	1.037802213284137e+00	9.108885643684310e-01	1.300495495485510e-01	3.043171197720053e+00	1.054110056182795e+00	1.015713825515030e+00	1.207813754080245e-01	7.435030517609204e-01	
16	9.296900033950000e-01	-1.119992596894052e-02	1.034495604833582e+00	9.137001093481976e-01	1.264858818343212e-01	3.034801144701836e+00	1.049425497409019e+00	1.014432050272306e+00	1.103247710022749e-01	7.482065004522070e-01	
17	9.214000105860000e-01	-1.233330773426656e-02	1.031374006225230e+00	9.160726867968534e-01	1.242608384451745e-01	3.026877812169933e+00	1.045024643822712e+00	1.013235390377389e+00	1.005014371042678e-01	7.525817329579449e-01	
