VARIABLES="VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
          0               , -0.0421566      , 0.001           
          1               , -0.0197924      , 0.001           
          2               , -0.00681741     , 0.001           
          3               , 0.000533748     , 0.001           
          4               , 0.00420884      , 0.001           
          5               , 0.00522821      , 0.001           
          6               , 0.00422757      , 0.001           
          7               , 0.0018097       , 0.001           
          8               , -0.00127091     , 0.001           
          9               , -0.00412877     , 0.001           
          10              , -0.00598718     , 0.001           
          11              , -0.00653489     , 0.001           
          12              , -0.00613777     , 0.001           
          13              , -0.00561447     , 0.001           
          14              , -0.00561114     , 0.001           
          15              , -0.0061779      , 0.001           
          16              , -0.00712025     , 0.001           
          17              , -0.00806805     , 0.001           
          18              , -0.00495228     , 0.001           
          19              , -0.0237114      , 0.001           
          20              , 0.0114339       , 0.001           
          21              , 0.00957452      , 0.001           
          22              , -0.00828081     , 0.001           
          23              , -0.0289447      , 0.001           
          24              , -0.0437531      , 0.001           
          25              , -0.0479949      , 0.001           
          26              , -0.0407708      , 0.001           
          27              , -0.02467        , 0.001           
          28              , -0.00494716     , 0.001           
          29              , 0.0120384       , 0.001           
          30              , 0.0211432       , 0.001           
          31              , 0.0209392       , 0.001           
          32              , 0.0148382       , 0.001           
          33              , 0.00893108      , 0.001           
          34              , 0.00697777      , 0.001           
          35              , 0.00780983      , 0.001           
          36              , 0.00886563      , 0.001           
          37              , 0.00711408      , 0.001           
