"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
149, 4.960500001910000e-01, 4.664722203873407e-02, 7.824338142344951e-01, -4.856388075122878e-01, 1.022073784537552e+00
150, 5.118399858470000e-01, 4.624733529540851e-02, 7.886710802620046e-01, -4.717163387008826e-01, 1.015368071097021e+00
151, 5.276100039480000e-01, 4.576806874253627e-02, 7.948608688982586e-01, -4.578998462092443e-01, 1.008770383382547e+00
152, 5.433599948880000e-01, 4.520773654071025e-02, 8.013827527941815e-01, -4.433420696558449e-01, 1.001852097140178e+00
153, 5.590599775310000e-01, 4.456597834873787e-02, 8.086690752320637e-01, -4.270779570712865e-01, 9.941469428375629e-01
154, 5.747100114820000e-01, 4.384167546860591e-02, 8.167861524428670e-01, -4.089594811543147e-01, 9.855649156785843e-01
155, 5.902799963950000e-01, 4.303547322789086e-02, 8.254276642900840e-01, -3.896703922096340e-01, 9.764393830092314e-01
156, 6.057599782940000e-01, 4.214764494180223e-02, 8.342970763108187e-01, -3.698725975204939e-01, 9.671272716512381e-01
157, 6.211299896240000e-01, 4.117957162847759e-02, 8.434199905431443e-01, -3.495089496804815e-01, 9.575671982751681e-01
158, 6.363800168040000e-01, 4.013264890457825e-02, 8.530155285772012e-01, -3.280903379973187e-01, 9.475614169038581e-01
159, 6.514999866490000e-01, 3.900882546906102e-02, 8.631590200125392e-01, -3.054486160434393e-01, 9.370130150568731e-01
160, 6.664699912070000e-01, 3.781145653556451e-02, 8.737785524741583e-01, -2.817443025130396e-01, 9.260147068679601e-01
161, 6.812700033190000e-01, 3.654475631674920e-02, 8.847641779576514e-01, -2.572228170588139e-01, 9.146706480580692e-01
162, 6.958900094030001e-01, 3.521287077891418e-02, 8.960501044282820e-01, -2.320310169011562e-01, 9.030581202898399e-01
163, 7.103199958800001e-01, 3.382060911491433e-02, 9.076233245060273e-01, -2.061979363704747e-01, 8.911879221475416e-01
164, 7.245299816130000e-01, 3.237553193601241e-02, 9.194458891633287e-01, -1.798082831175699e-01, 8.790965037249868e-01
165, 7.385200262070000e-01, 3.088297976466833e-02, 9.315001411802392e-01, -1.529014705798233e-01, 8.668024964588904e-01
166, 7.522799968720000e-01, 2.934989323228423e-02, 9.437221586596470e-01, -1.256201815632879e-01, 8.543597395574427e-01
167, 7.657799720760000e-01, 2.778617171981137e-02, 9.560771029144967e-01, -9.804218099442710e-02, 8.418287849565553e-01
168, 7.790099978450000e-01, 2.620018824295984e-02, 9.684895503634855e-01, -7.033582508150558e-02, 8.292138079062525e-01
169, 7.919700145720000e-01, 2.459958647926305e-02, 9.809319011183524e-01, -4.256272071796344e-02, 8.166154392072781e-01
170, 8.046399950980000e-01, 2.299488800818930e-02, 9.932987158357841e-01, -1.495822358083905e-02, 8.041071826178182e-01
171, 8.170099854470000e-01, 2.139573075190251e-02, 1.005485231727614e+00, 1.224382082056735e-02, 7.917644289143158e-01
172, 8.290500044819999e-01, 1.981446584776481e-02, 1.017383381396419e+00, 3.880219061700679e-02, 7.797339069756829e-01
173, 8.407700061800000e-01, 1.825788536860289e-02, 1.028875986785702e+00, 6.445532764665729e-02, 7.681176286395095e-01
174, 8.521599769590000e-01, 1.673443225905990e-02, 1.039891676978948e+00, 8.904392182800823e-02, 7.569854049427958e-01
175, 8.631799817090000e-01, 1.525494480651318e-02, 1.050396935532543e+00, 1.124931596708541e-01, 7.463657388384336e-01
176, 8.738499879840000e-01, 1.381990432365234e-02, 1.060461732367103e+00, 1.349592240337112e-01, 7.361650436295317e-01
177, 8.841500282290000e-01, 1.243252925218059e-02, 1.070335711976844e+00, 1.569993570911686e-01, 7.261364431261673e-01
178, 8.940600156780000e-01, 1.109401913697102e-02, 1.080408495613802e+00, 1.794832491379515e-01, 7.158318258847145e-01
179, 9.035800099370001e-01, 9.802680868282445e-03, 1.091230943949908e+00, 2.036404998881869e-01, 7.047074412162345e-01
180, 9.126999974250000e-01, 8.561216771956023e-03, 1.103252724897652e+00, 2.304748323608299e-01, 6.922516553844678e-01
181, 9.214000105860000e-01, 7.380571609533825e-03, 1.116601696712618e+00, 2.602716444478080e-01, 6.783688676554024e-01
182, 9.296900033950000e-01, 6.277311308221160e-03, 1.130722937323723e+00, 2.917922708118809e-01, 6.636389779481473e-01
31, 7.657799720760000e-01, -3.607603723376047e-02, 9.120982773284043e-01, -1.962092023919547e-01, 8.878736930477257e-01
32, 7.522799968720000e-01, -3.754160757915049e-02, 9.052064570845527e-01, -2.115927297219805e-01, 8.949130604523893e-01
33, 7.385200262070000e-01, -3.898677972451210e-02, 8.983000683991250e-01, -2.270087758948102e-01, 9.019824977955782e-01
