VARIABLES="EVALUATION"    , "LIFT"          , "DRAG"          , "SIDEFORCE"     , "MOMENT_X"      , "MOMENT_Y"      , "MOMENT_Z"      , "FORCE_X"       , "FORCE_Y"       , "FORCE_Z"       , "EFFICIENCY"    , "ITERATION"     , "Res_Flow[0]"   , "Res_Flow[1]"   , "Res_Flow[2]"   , "Res_Flow[3]"   , "Res_Flow[4]"   , "Linear_Solver_Iterations", "CFL_Number"    , "TIME"          
          1               , 0.326933435     , 0.0213497372    , 0.0             , 0.0             , 0.0             , 0.0336976178    , 0.0142126412    , 0.327321375     , 0.0             , 15.31323        , 461.0           , -9.53724039     , -9.48518882     , -9.79562983     , -8.98706865     , 0.0             , 2.0                     , 10.0            , 0.155332617     
          2               , 0.24328119      , 0.00813781695   , 0.0             , 0.0             , 0.0             , 0.00261930297   , 0.00282872919   , 0.243400821     , 0.0             , 29.8951416      , 883.0           , -10.2394828     , -10.3342219     , -10.5466062     , -9.7202247      , 0.0             , 2.0                     , 10.0            , 0.1344811996    
          3               , 0.00816130331   , 0.00294093906   , 0.0             , 0.0             , 0.0             , -0.0306034285   , 0.0027622013    , 0.00822351739   , 0.0             , 2.77506713      , 1236.0          , -9.86257666     , -10.3377054     , -10.3415453     , -9.3650311      , 0.0             , 2.0                     , 10.0            , 0.0953087012    
          4               , 0.0264030647    , 0.00190425197   , 0.0             , 0.0             , 0.0             , -0.0313907113   , 0.00132781899   , 0.0264383226    , 0.0             , 13.8653209      , 1660.0          , -10.8662716     , -10.9033268     , -11.1685156     , -10.3193406     , 0.0             , 2.0                     , 10.0            , 0.1131627639    
          5               , 0.0746820712    , 0.000514269732  , 0.0             , 0.0             , 0.0             , -0.0344443698   , -0.00111503345  , 0.0746755176    , 0.0             , 145.219652      , 2090.0          , -10.3904735     , -10.8394875     , -10.7939288     , -9.87729793     , 0.0             , 2.0                     , 10.0            , 0.1243386348    
          6               , 0.0794216919    , 0.000507286135  , 0.0             , 0.0             , 0.0             , -0.0350285481   , -0.00122540966  , 0.0794138581    , 0.0             , 156.561921      , 2494.0          , -11.3444723     , -11.6821731     , -11.7305787     , -10.8196838     , 0.0             , 2.0                     , 10.0            , 0.1150659164    
          7               , 0.0713748306    , 0.000465217796  , 0.0             , 0.0             , 0.0             , -0.0354886186   , -0.00109192664  , 0.071367994     , 0.0             , 153.4224        , 2482.0          , -11.5812987     , -11.8693527     , -11.9417944     , -11.0625014     , 0.0             , 2.0                     , 10.0            , 0.1157830358    
          8               , 0.0679336388    , 0.000453788915  , 0.0             , 0.0             , 0.0             , -0.0361754604   , -0.0010282836   , 0.0679273718    , 0.0             , 149.703169      , 2880.0          , -11.8092496     , -12.2201086     , -12.248391      , -11.2986952     , 0.0             , 2.0                     , 10.0            , 0.1108950496    
          9               , 0.066901998     , 0.000451713808  , 0.0             , 0.0             , 0.0             , -0.0367120729   , -0.00100785308  , 0.0668959312    , 0.0             , 148.107046      , 3272.0          , -12.1037396     , -12.5497169     , -12.5430381     , -11.5970003     , 0.0             , 2.0                     , 10.0            , 0.1452317834    
          10              , 0.0529286449    , 0.000465026767  , 0.0             , 0.0             , 0.0             , -0.041430738    , -0.0006897162   , 0.0529261938    , 0.0             , 113.818491      , 3638.0          , -11.247228      , -11.5646153     , -11.6084035     , -10.7288488     , 0.0             , 2.0                     , 10.0            , 0.120688049     
