SENS_AOA=0.00094325006561869
"Point","Sensitivity","PsiRho","Phi_x","Phi_y","PsiE","x_coord","y_coord"
199, 1.485180610397309e-02, -2.948639008052852e-01, 3.017157034228246e-01, -9.041069687768846e-01, -7.887200873040445e-02, 1.000000000000000e+00, 0.000000000000000e+00
0, -7.337340083237509e-01, 5.003865001661977e-02, -3.557898900838383e-01, -1.582540249081154e-01, 1.023856689503231e-01, 9.997500181200000e-01, -3.633228910867252e-05
1, 4.442071283684702e-01, -1.336185911897944e-01, 2.756438372116481e-02, -1.066193406495944e-01, -1.639926589133937e-02, 9.990000128750000e-01, -1.454635703216378e-04
2, 3.130922059426369e-02, -1.394662612060954e-01, 8.018014685894004e-02, -1.212764235189647e-01, -2.418779037013615e-02, 9.977599978450000e-01, -3.274113307209993e-04
3, 2.697831118525352e-02, -1.450275704894501e-01, 1.107760849934896e-01, -1.189248083875524e-01, -2.812021029737920e-02, 9.960200190539999e-01, -5.894086083053142e-04
4, 2.530861542864677e-02, -1.549773306351892e-01, 1.410526927951657e-01, -1.236224697565718e-01, -3.337661601369714e-02, 9.937800168990000e-01, -9.452216555604570e-04
5, 1.526188461370578e-02, -1.580667600726930e-01, 1.570347941950050e-01, -1.346081172362121e-01, -3.547495107008376e-02, 9.910500049590000e-01, -1.416920936114088e-03
6, 1.217245751677863e-02, -1.553012881105158e-01, 1.625927360165574e-01, -1.507272047521203e-01, -3.566660332598659e-02, 9.878399968150000e-01, -2.033758741606321e-03
7, 1.001595461737967e-02, -1.447026979429476e-01, 1.556894878815968e-01, -1.705449949386501e-01, -3.363911020051412e-02, 9.841300249100000e-01, -2.830630634466177e-03
8, 8.162110484737308e-03, -1.248088024271791e-01, 1.348976279039913e-01, -1.912152277573335e-01, -2.908770831541701e-02, 9.799500107769999e-01, -3.819067493751274e-03
9, 6.518072260356389e-03, -9.550973454177847e-02, 1.003632773504736e-01, -2.090317853967216e-01, -2.201887628090650e-02, 9.752799868580000e-01, -4.996286771293875e-03
10, 5.244132617133046e-03, -5.876234866275327e-02, 5.512536633072423e-02, -2.200756187609823e-01, -1.293547762423060e-02, 9.701499938960000e-01, -6.316976631351666e-03
