SENS_AOA=1.30666728884042e-05
"Point","Sensitivity","PsiRho","Phi_x","Phi_y","PsiE","x_coord","y_coord"
199, 1.562529507654297e-02, -2.842784620162703e-01, 2.682636795836148e-01, 1.093534636308078e-01, -7.612639366054731e-02, 1.000000000000000e+00, 0.000000000000000e+00
0, 2.268369725551347e-02, -3.107108804811655e-01, 3.947587667868489e-01, -9.498034454618420e-02, -8.963729953739787e-02, 9.997500181200000e-01, -3.633641436214954e-05
1, -8.489415523694262e-02, -2.717852111657810e-01, 3.529420084510399e-01, -9.136173937993382e-02, -6.865582217077881e-02, 9.990000128750000e-01, -1.457236188783947e-04
2, -4.933415778432421e-03, -2.691261939466046e-01, 3.609213084808474e-01, -8.327062700366297e-02, -6.829256885372159e-02, 9.977599978450000e-01, -3.302549042491773e-04
3, -3.759623694807531e-03, -2.676435799733635e-01, 3.652911739041711e-01, -8.853169011922526e-02, -6.809690160076101e-02, 9.960200190539999e-01, -6.046871232567193e-04
4, -1.723235165579502e-03, -2.664476466733649e-01, 3.683732403614263e-01, -1.020649870111607e-01, -6.752933398844217e-02, 9.937800168990000e-01, -1.000007737967988e-03
5, 7.355141725880706e-04, -2.627703276865475e-01, 3.683070332502875e-01, -1.247012440310613e-01, -6.657226916850784e-02, 9.910500049590000e-01, -1.566666813248642e-03
6, 1.797621513701941e-03, -2.515899428814007e-01, 3.581319831513311e-01, -1.559778377907438e-01, -6.371082717416406e-02, 9.878399968150000e-01, -2.368821312505969e-03
7, 3.241278433948550e-03, -2.284786678362788e-01, 3.316181009456065e-01, -1.936990828285756e-01, -5.782132398677569e-02, 9.841300249100000e-01, -3.473358066122064e-03
8, 3.751841142274054e-03, -1.889307296855431e-01, 2.829000273977861e-01, -2.342354528694341e-01, -4.780276824381927e-02, 9.799500107769999e-01, -4.897493215426950e-03
9, 3.316674744195049e-03, -1.285794896089688e-01, 2.070254498922362e-01, -2.717136284267043e-01, -3.254161785923191e-02, 9.752799868580000e-01, -6.610148709794190e-03
10, 2.047961107409931e-02, -4.544435343967603e-02, 1.028876444201922e-01, -2.978135318741753e-01, -1.142988829113901e-02, 9.701499938960000e-01, -8.490367207790159e-03
11, 3.599548686665537e-02, 5.909119885227564e-02, -2.379521873580579e-02, -3.035402546460769e-01, 1.523925666138328e-02, 9.645400047300000e-01, -1.038417072467367e-02
12, -2.414219654852791e-02, 1.760803188622759e-01, -1.590248059350754e-01, -2.804161838725759e-01, 4.505620479712213e-02, 9.584699869160000e-01, -1.211927305235825e-02
