"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"
0	9.997500181200000e-01	-3.633566803543136e-05	1.194908163812346e+00	7.156530086654308e-01	1.015199811838151e-01	3.432119015188200e+00	1.285398955004971e+00	1.075730331361964e+00	6.370512388503821e-01	4.929224182381893e-01	
1	9.990000128750000e-01	-1.456765588884579e-04	1.179153905581773e+00	7.376904033584240e-01	1.065176748944836e-01	3.392532578572675e+00	1.262787308452229e+00	1.070926621600929e+00	5.865788135094387e-01	5.162268856604416e-01	
2	9.977599978450000e-01	-3.297400486910275e-04	1.172169456069619e+00	7.504430324381763e-01	1.139279777466603e-01	3.375749350700587e+00	1.251995808870810e+00	1.068101375946833e+00	5.624906448009154e-01	5.295475829900176e-01	
3	9.960200190539999e-01	-6.019184545886085e-04	1.169543808197389e+00	7.550328404640888e-01	1.243786955021676e-01	3.369650858095233e+00	1.247728198384693e+00	1.066850330564196e+00	5.529647285372603e-01	5.353622551829881e-01	
4	9.937800168990000e-01	-9.900667780815549e-04	1.168222462050960e+00	7.546981668359187e-01	1.416161272800110e-01	3.366504445397597e+00	1.245657913495432e+00	1.066284850668361e+00	5.483435569094474e-01	5.379743289949751e-01	
5	9.910500049590000e-01	-1.539443163549320e-03	1.165351592742746e+00	7.547887494296581e-01	1.667062328912188e-01	3.359551261822874e+00	1.241276855572741e+00	1.065152236717933e+00	5.385644097605830e-01	5.431765841341937e-01	
6	9.878399968150000e-01	-2.307741647794935e-03	1.157036871940355e+00	7.588136991731838e-01	1.984392939990121e-01	3.338812841695936e+00	1.229188614761996e+00	1.062359069595286e+00	5.115817293794547e-01	5.558440298866044e-01	
7	9.841300249100000e-01	-3.355750292559763e-03	1.140441323700718e+00	7.711159549729599e-01	2.329856212290838e-01	3.297343120546940e+00	1.205138826111853e+00	1.056730233346151e+00	4.578991654282423e-01	5.807250570034889e-01	
8	9.799500107769999e-01	-4.699150434508307e-03	1.113037591370600e+00	7.942316421378688e-01	2.644450946609689e-01	3.228718247202262e+00	1.165573292939672e+00	1.047200294020959e+00	3.695832431689103e-01	6.211381597427257e-01	
9	9.752799868580000e-01	-6.311290531763492e-03	1.074313284147067e+00	8.280171524227564e-01	2.848436415972826e-01	3.131535244293325e+00	1.109872065913555e+00	1.033099080399736e+00	2.452501471284706e-01	6.777358531430550e-01	
