SENS_AOA=0.00376448447144838
"Point","Sensitivity","PsiRho","Phi_x","Phi_y","PsiE","x_coord","y_coord"
149, 1.336597874176054e-01, 3.001870876091260e-01, -1.911658725949537e-01, -5.209843116935516e-03, 7.226987429889024e-02, 4.960500001910000e-01, 4.310626215530208e-02
150, 4.786564208032387e-02, 3.797955732202826e-01, -2.701244653341974e-01, -2.641354118159154e-03, 9.227849764902595e-02, 5.118399858470000e-01, 4.337672348734548e-02
151, -8.295612141989023e-02, 3.883974224920002e-01, -2.779862237995263e-01, 5.872628159256381e-03, 9.498693408921691e-02, 5.276100039480000e-01, 4.354386939887094e-02
152, -1.841941636718170e-01, 3.195600660564457e-01, -2.094611200653996e-01, 1.865783809823775e-02, 7.850949030052223e-02, 5.433599948880000e-01, 4.359986778493372e-02
153, -2.087031794211036e-01, 2.118762484013577e-01, -1.032154233573511e-01, 3.097083170221358e-02, 5.199879579729511e-02, 5.590599775310000e-01, 4.353752272225080e-02
154, -1.724724068459788e-01, 1.141427325862555e-01, -7.149627062184195e-03, 4.007203252214394e-02, 2.743282822926655e-02, 5.747100114820000e-01, 4.335064215741172e-02
155, -1.207309707417634e-01, 4.908971469549051e-02, 5.695257234179173e-02, 4.680268518183849e-02, 1.071761075540748e-02, 5.902799963950000e-01, 4.303446381765285e-02
156, -7.343219362137077e-02, 1.274068566866404e-02, 9.321421486473239e-02, 5.313704670172550e-02, 1.146476387374135e-03, 6.057599782940000e-01, 4.258541599334228e-02
157, -1.386439366399616e-02, -5.741374370057255e-03, 1.122505528187712e-01, 5.954263551202885e-02, -3.792311917601862e-03, 6.211299896240000e-01, 4.200167242946790e-02
158, 7.440976944783907e-02, -1.218661750155549e-02, 1.198895694067373e-01, 6.645850863783802e-02, -5.447733157653143e-03, 6.363800168040000e-01, 4.128269470446169e-02
159, 1.403899479549775e-01, -1.141767537461038e-02, 1.206598719594714e-01, 7.443569857187324e-02, -5.226686626826488e-03, 6.514999866490000e-01, 4.042948499068012e-02
160, 1.031598433713707e-01, -1.159317827244297e-02, 1.227429751749519e-01, 8.253153567886275e-02, -5.316062331021998e-03, 6.664699912070000e-01, 3.944534424860802e-02
161, 2.374188647508731e-02, -1.835466718227025e-02, 1.322163066781123e-01, 8.982976074886577e-02, -7.214671163121670e-03, 6.812700033190000e-01, 3.833559202183914e-02
162, -1.337404280867749e-02, -3.200926508129181e-02, 1.491976506311345e-01, 9.612364230054678e-02, -1.067028117228626e-02, 6.958900094030001e-01, 3.710666535137996e-02
163, -1.146502340490597e-02, -4.896858689941355e-02, 1.696889501628727e-01, 1.016892342184701e-01, -1.497891298458138e-02, 7.103199958800001e-01, 3.576659670976057e-02
164, -8.230740423544955e-04, -6.706627702053802e-02, 1.914986028445909e-01, 1.062379670910536e-01, -1.949903875810501e-02, 7.245299816130000e-01, 3.432704340592742e-02
165, 2.069443196586187e-03, -8.495484118334289e-02, 2.134189511765368e-01, 1.100931722407951e-01, -2.408232382962003e-02, 7.385200262070000e-01, 3.279829270084079e-02
166, -7.514861781123107e-05, -1.031917752387979e-01, 2.361019442788123e-01, 1.128841657318685e-01, -2.869630448916437e-02, 7.522799968720000e-01, 3.119277050785857e-02
167, -1.561824953937748e-03, -1.211618091911227e-01, 2.588412157599178e-01, 1.149821397214045e-01, -3.332209749770353e-02, 7.657799720760000e-01, 2.952646865546060e-02
168, -1.366754783187475e-03, -1.390385277320678e-01, 2.817611585456801e-01, 1.160636692681250e-01, -3.785555802919741e-02, 7.790099978450000e-01, 2.781404742578943e-02
169, -1.359625489418845e-03, -1.561879889741659e-01, 3.041793409009723e-01, 1.164967205246325e-01, -4.228809087639657e-02, 7.919700145720000e-01, 2.606935109573704e-02
170, -1.564601934418813e-03, -1.729826897318826e-01, 3.265017042823808e-01, 1.159643863903364e-01, -4.657254637410323e-02, 8.046399950980000e-01, 2.430915794045936e-02
171, -2.009007169002543e-03, -1.889493995931741e-01, 3.481958075209914e-01, 1.148566945917115e-01, -5.072451426940631e-02, 8.170099854470000e-01, 2.254892949276943e-02
172, -2.266485009238985e-03, -2.044424809431680e-01, 3.696402023466537e-01, 1.129210656527616e-01, -5.469670006529106e-02, 8.290500044819999e-01, 2.080658951942987e-02
173, -2.620522457247382e-03, -2.189705047611103e-01, 3.903188848697838e-01, 1.105858860419130e-01, -5.851520008760949e-02, 8.407700061800000e-01, 1.909328397154519e-02
174, -2.849949984060211e-03, -2.329712901465061e-01, 4.106074106093856e-01, 1.076501286178378e-01, -6.213360405285613e-02, 8.521599769590000e-01, 1.742126269816233e-02
175, -3.169761271224278e-03, -2.461685089776507e-01, 4.303452820040019e-01, 1.045107386189894e-01, -6.560952252382318e-02, 8.631799817090000e-01, 1.580463889487552e-02
176, -3.564852340541826e-03, -2.588471518010483e-01, 4.498387404238011e-01, 1.012098845385244e-01, -6.896139845312939e-02, 8.738499879840000e-01, 1.424545538142404e-02
