"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Surface_Sensitivity"	"Solution_Sensor"
0	9.997500181200000e-01	-3.633254500845769e-05	1.033407419666237e+00	-2.367598651055963e+00	-3.499174660929984e-01	6.120640306251991e-01	-5.496828892774804e+03	0.000000000000000e+00	
1	9.990000128750000e-01	-1.454797205989588e-04	2.250819230373741e-01	-8.088981436809715e-01	-1.495778974947355e-01	1.185441686411372e-01	1.853734637241009e+03	0.000000000000000e+00	
2	9.977599978450000e-01	-3.275883144235679e-04	1.688579974921953e-01	-5.932930818740056e-01	-2.219839819861903e-01	8.240009462371141e-02	9.055564514235479e+01	0.000000000000000e+00	
3	9.960200190539999e-01	-5.903629306144900e-04	1.246750203446409e-01	-4.616823852923066e-01	-2.065031144788332e-01	6.312997424495842e-02	5.505248994239479e+01	0.000000000000000e+00	
4	9.937800168990000e-01	-9.486624089302510e-04	6.791386863429898e-02	-3.302371405654000e-01	-2.059327758077190e-01	3.840393646827499e-02	4.042499432764362e+01	0.000000000000000e+00	
5	9.910500049590000e-01	-1.426401003781954e-03	3.754617933075711e-02	-2.522945088573508e-01	-2.159639915011312e-01	2.606925378824530e-02	1.949366119924239e+01	0.000000000000000e+00	
6	9.878399968150000e-01	-2.055213138038402e-03	2.175425363407790e-02	-2.031451607457193e-01	-2.329946803896295e-01	1.893423342455528e-02	1.281106153864479e+01	0.000000000000000e+00	
7	9.841300249100000e-01	-2.872445540002377e-03	2.120535960242267e-02	-1.812250852320673e-01	-2.557209771935220e-01	1.650913996392332e-02	8.957790870977107e+00	0.000000000000000e+00	
8	9.799500107769999e-01	-3.890776994799377e-03	3.666841562779916e-02	-1.855523479874744e-01	-2.799083139562015e-01	1.877052022603799e-02	6.556184848048043e+00	0.000000000000000e+00	
9	9.752799868580000e-01	-5.106850065551409e-03	6.695157066712709e-02	-2.134512843231987e-01	-3.003918568986397e-01	2.524962122953085e-02	5.045055276532890e+00	0.000000000000000e+00	
10	9.701499938960000e-01	-6.471997344959259e-03	1.086225756865521e-01	-2.591027443568980e-01	-3.117501236375717e-01	3.498556113407689e-02	4.057426752063654e+00	0.000000000000000e+00	
11	9.645400047300000e-01	-7.925201494802771e-03	1.552039250967491e-01	-3.130817506159334e-01	-3.098610286250721e-01	4.626572918060365e-02	3.215758248621776e+00	0.000000000000000e+00	
12	9.584699869160000e-01	-9.388285602257598e-03	1.972248375060409e-01	-3.628569716853252e-01	-2.935311438872478e-01	5.663604987027225e-02	2.308724140093778e+00	0.000000000000000e+00	
13	9.519400000570000e-01	-1.080378567739779e-02	2.253451839928259e-01	-3.964271968014869e-01	-2.663860501275087e-01	6.352410904900294e-02	1.678759579047824e+00	0.000000000000000e+00	
14	9.449599981310000e-01	-1.214286047856953e-02	2.346992460425050e-01	-4.074049659955604e-01	-2.355821763285600e-01	6.556515626736571e-02	1.533475360001473e+00	0.000000000000000e+00	
15	9.375399947170000e-01	-1.341035049632986e-02	2.282067172322007e-01	-3.987104492472623e-01	-2.084054551014015e-01	6.344178681360532e-02	1.569766465251961e+00	0.000000000000000e+00	
16	9.296900033950000e-01	-1.463497133622930e-02	2.141392802080231e-01	-3.798564057382390e-01	-1.889904927629320e-01	5.930371324618335e-02	1.451226063401641e+00	0.000000000000000e+00	
17	9.214000105860000e-01	-1.585674777104781e-02	2.002524144089938e-01	-3.604028047308021e-01	-1.773529684636297e-01	5.528949858238245e-02	1.197437193814714e+00	0.000000000000000e+00	
18	9.126999974250000e-01	-1.710457670437205e-02	1.913196255263509e-01	-3.463871836633457e-01	-1.717130933772684e-01	5.256989719584711e-02	9.320347096797527e-01	0.000000000000000e+00	
19	9.035800099370001e-01	-1.840060782801500e-02	1.880127630663690e-01	-3.390202515298784e-01	-1.693653360927884e-01	5.141685406645424e-02	7.444855852597586e-01	0.000000000000000e+00	
20	8.940600156780000e-01	-1.974912500059896e-02	1.897173615842420e-01	-3.377774863281653e-01	-1.683279107202580e-01	5.157860059999897e-02	6.037819964012284e-01	0.000000000000000e+00	
21	8.841500282290000e-01	-2.114572697211635e-02	1.948307312841158e-01	-3.408301418267247e-01	-1.672356380189089e-01	5.267727292542885e-02	5.050580918332409e-01	0.000000000000000e+00	
22	8.738499879840000e-01	-2.258218450829249e-02	2.017941330845811e-01	-3.463578901165248e-01	-1.654245943641521e-01	5.428600568568234e-02	4.412635993788364e-01	0.000000000000000e+00	
23	8.631799817090000e-01	-2.404636122235235e-02	2.095363967099459e-01	-3.530241549905502e-01	-1.628813158980526e-01	5.609778704265038e-02	3.912452226191936e-01	0.000000000000000e+00	
24	8.521599769590000e-01	-2.552764952056577e-02	2.172037198899504e-01	-3.598027102231119e-01	-1.596846052972328e-01	5.791973035009113e-02	3.589637314968007e-01	0.000000000000000e+00	
25	8.407700061800000e-01	-2.702305512872182e-02	2.245789660203418e-01	-3.663770994958753e-01	-1.561440306487790e-01	5.966087319913690e-02	3.331890031975439e-01	0.000000000000000e+00	
26	8.290500044819999e-01	-2.852373928867728e-02	2.315865811726633e-01	-3.726237057216003e-01	-1.524696488308956e-01	6.132272746168720e-02	3.107708835160345e-01	0.000000000000000e+00	
27	8.170099854470000e-01	-3.002639221765921e-02	2.382977673399971e-01	-3.786111733837235e-01	-1.487435038649544e-01	6.292734472914771e-02	2.897985388091098e-01	0.000000000000000e+00	
28	8.046399950980000e-01	-3.153085093635386e-02	2.449890898589745e-01	-3.846237470218071e-01	-1.450961176847251e-01	6.451963192532781e-02	2.606203120156553e-01	0.000000000000000e+00	
29	7.919700145720000e-01	-3.303225081837394e-02	2.517323131695584e-01	-3.907414119218823e-01	-1.414806576480414e-01	6.614186611889603e-02	2.305453580547352e-01	0.000000000000000e+00	
30	7.790099978450000e-01	-3.452816685683093e-02	2.586703138298442e-01	-3.971359349269521e-01	-1.379043736607584e-01	6.781413096817659e-02	2.034863961699264e-01	0.000000000000000e+00	
31	7.657799720760000e-01	-3.601484346786941e-02	2.658754050043961e-01	-4.038435763463480e-01	-1.343711634663135e-01	6.954705098336789e-02	1.875002810788759e-01	0.000000000000000e+00	
32	7.522799968720000e-01	-3.749058247868717e-02	2.732097232323671e-01	-4.107540076680822e-01	-1.307641899037892e-01	7.134238134910628e-02	1.858465911492538e-01	0.000000000000000e+00	
33	7.385200262070000e-01	-3.895236167845945e-02	2.807772503568493e-01	-4.179676127256942e-01	-1.271472867308366e-01	7.318980147397264e-02	1.798772093824124e-01	0.000000000000000e+00	
34	7.245299816130000e-01	-4.039502846077305e-02	2.884188559182141e-01	-4.252934198103660e-01	-1.234100828899833e-01	7.508135860654643e-02	1.705421485780346e-01	0.000000000000000e+00	
35	7.103199958800001e-01	-4.181558430795789e-02	2.962297977849645e-01	-4.328257890846992e-01	-1.196260242991868e-01	7.699820084912112e-02	1.541678768995274e-01	0.000000000000000e+00	
36	6.958900094030001e-01	-4.321200282437160e-02	3.040954210470487e-01	-4.404385294047197e-01	-1.157017373097297e-01	7.895396324205421e-02	1.386376116359548e-01	0.000000000000000e+00	
37	6.812700033190000e-01	-4.457939202984180e-02	3.121866305059808e-01	-4.483184611991182e-01	-1.117191823544544e-01	8.094637804550034e-02	1.242643572965855e-01	0.000000000000000e+00	
38	6.664699912070000e-01	-4.591493117552392e-02	3.203703084117805e-01	-4.563159976115460e-01	-1.075928516500150e-01	8.298752913059500e-02	1.254658549623163e-01	0.000000000000000e+00	
39	6.514999866490000e-01	-4.721584897613838e-02	3.287466377195215e-01	-4.645309615891736e-01	-1.033991027004151e-01	8.505803336713891e-02	1.269666948804439e-01	0.000000000000000e+00	
40	6.363800168040000e-01	-4.847860537787859e-02	3.371590425834901e-01	-4.728008979825418e-01	-9.905214213991852e-02	8.716333772458489e-02	1.109118813187834e-01	0.000000000000000e+00	
41	6.211299896240000e-01	-4.969985643094826e-02	3.456947603514372e-01	-4.812121966917077e-01	-9.461654029762052e-02	8.928153432079682e-02	6.035543526835735e-02	0.000000000000000e+00	
42	6.057599782940000e-01	-5.087717988180450e-02	3.541760315800330e-01	-4.895674090435249e-01	-9.001224143540253e-02	9.140733626893821e-02	2.217934515029478e-02	0.000000000000000e+00	
43	5.902799963950000e-01	-5.200820227006282e-02	3.626543578872143e-01	-4.979206957544842e-01	-8.529302797479243e-02	9.351459735925279e-02	5.716387463601759e-02	0.000000000000000e+00	
44	5.747100114820000e-01	-5.308991270259925e-02	3.710151675947579e-01	-5.061557990446141e-01	-8.041656266215015e-02	9.560914563658478e-02	1.318351000754479e-01	0.000000000000000e+00	
45	5.590599775310000e-01	-5.412011425938942e-02	3.792543512674373e-01	-5.142741806092304e-01	-7.540937731531003e-02	9.765947787657660e-02	-1.605095011248172e-02	0.000000000000000e+00	
46	5.433599948880000e-01	-5.509541526975228e-02	3.869560711510027e-01	-5.218740425201394e-01	-7.018378296562863e-02	9.959097761946041e-02	-7.022832754827769e-01	0.000000000000000e+00	
