"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
149, 4.960500001910000e-01, 4.651559882768384e-02, 7.662699562760225e-01, -5.217188475981642e-01, 1.039819890814410e+00
150, 5.118399858470000e-01, 4.613912798439507e-02, 7.739826001358344e-01, -5.045031246967981e-01, 1.031522490328005e+00
151, 5.276100039480000e-01, 4.568387746557098e-02, 7.849957704111039e-01, -4.799201553323574e-01, 1.019570379865177e+00
152, 5.433599948880000e-01, 4.514786600293787e-02, 7.967716537797778e-01, -4.536347013844246e-01, 1.006749523961241e+00
153, 5.590599775310000e-01, 4.453038967062949e-02, 8.072063393771434e-01, -4.303429924617336e-01, 9.954685495560334e-01
154, 5.747100114820000e-01, 4.383003707801963e-02, 8.159036532427548e-01, -4.109293454402794e-01, 9.861951290808639e-01
155, 5.902799963950000e-01, 4.304712642868434e-02, 8.236790371212052e-01, -3.935735778544528e-01, 9.780133371469719e-01
156, 6.057599782940000e-01, 4.218165394407000e-02, 8.315078610258758e-01, -3.760985244958129e-01, 9.698527841806567e-01
157, 6.211299896240000e-01, 4.123473457623808e-02, 8.400263903765470e-01, -3.570839500523504e-01, 9.609631545496031e-01
158, 6.363800168040000e-01, 4.020754333472102e-02, 8.494535654429375e-01, -3.360411485648717e-01, 9.511443675372949e-01
159, 6.514999866490000e-01, 3.910184277404531e-02, 8.596085120729446e-01, -3.133738569800343e-01, 9.405762649916656e-01
160, 6.664699912070000e-01, 3.792082958513381e-02, 8.702555695750589e-01, -2.896081036271007e-01, 9.295349151559353e-01
161, 6.812700033190000e-01, 3.666860402738367e-02, 8.812721625547484e-01, -2.650174942974367e-01, 9.181455789057192e-01
162, 6.958900094030001e-01, 3.534925235958131e-02, 8.926290614930893e-01, -2.396672734529257e-01, 9.064467990843901e-01
163, 7.103199958800001e-01, 3.396756512495448e-02, 9.043163309307765e-01, -2.135796184580883e-01, 8.944497741290490e-01
164, 7.245299816130000e-01, 3.253111245525063e-02, 9.162725406354113e-01, -1.868916503673855e-01, 8.822113835561081e-01
165, 7.385200262070000e-01, 3.104530253388941e-02, 9.284657775418445e-01, -1.596746037012401e-01, 8.697673739728562e-01
166, 7.522799968720000e-01, 2.951716611825864e-02, 9.408294530684888e-01, -1.320771136864090e-01, 8.571729141957711e-01
167, 7.657799720760000e-01, 2.795671328383811e-02, 9.533294750928862e-01, -1.041752788105218e-01, 8.444889844255276e-01
168, 7.790099978450000e-01, 2.637245452656805e-02, 9.658884332645219e-01, -7.614189003454934e-02, 8.317211023222072e-01
169, 7.919700145720000e-01, 2.477217807024700e-02, 9.784751482477418e-01, -4.804654408986195e-02, 8.189730029530568e-01
170, 8.046399950980000e-01, 2.316654731166504e-02, 9.909814329292069e-01, -2.013073006873453e-02, 8.063216965968125e-01
171, 8.170099854470000e-01, 2.156533484992317e-02, 1.003300173758339e+00, 7.366459282005998e-03, 7.938441511391555e-01
172, 8.290500044819999e-01, 1.998101855300517e-02, 1.015322421729381e+00, 3.420183421736738e-02, 7.816874411447429e-01
173, 8.407700061800000e-01, 1.842049471638124e-02, 1.026931857287616e+00, 6.011575287414345e-02, 7.699538249566761e-01
174, 8.521599769590000e-01, 1.689230536859544e-02, 1.038058328940611e+00, 8.495162709957740e-02, 7.587099993000679e-01
175, 8.631799817090000e-01, 1.540740884573768e-02, 1.048670157785181e+00, 1.086387450562084e-01, 7.479835490978559e-01
176, 8.738499879840000e-01, 1.396640008651178e-02, 1.058837167853146e+00, 1.313329639579154e-01, 7.376802870870792e-01
177, 8.841500282290000e-01, 1.257266142565835e-02, 1.068807078681563e+00, 1.535872291999177e-01, 7.275562056953695e-01
178, 8.940600156780000e-01, 1.122758596063359e-02, 1.078963510132356e+00, 1.762578351168671e-01, 7.171691623738251e-01
179, 9.035800099370001e-01, 9.929655596740805e-03, 1.089848933921765e+00, 2.005556560753677e-01, 7.059847875820926e-01
180, 9.126999974250000e-01, 8.681684050960328e-03, 1.101904586235221e+00, 2.274655942750460e-01, 6.935003588422212e-01
181, 9.214000105860000e-01, 7.494582953286484e-03, 1.115255414081022e+00, 2.572665492879946e-01, 6.796227349322981e-01
182, 9.296900033950000e-01, 6.384646476853988e-03, 1.129355347124097e+00, 2.887396141162882e-01, 6.649223860359607e-01
31, 7.657799720760000e-01, -3.588932065749215e-02, 9.139934202730815e-01, -1.919789726047288e-01, 8.859428233487974e-01
32, 7.522799968720000e-01, -3.735379911324997e-02, 9.071476806536917e-01, -2.072596413980097e-01, 8.929314552197314e-01
33, 7.385200262070000e-01, -3.879853712832405e-02, 9.002884092223032e-01, -2.225705151287874e-01, 8.999488212299276e-01
34, 7.245299816130000e-01, -4.021769806747567e-02, 8.934824770171725e-01, -2.377623280866684e-01, 9.069259643065496e-01
35, 7.103199958800001e-01, -4.160768314173572e-02, 8.867928027228081e-01, -2.526946367794461e-01, 9.137964528601233e-01
36, 6.958900094030001e-01, -4.296595463465607e-02, 8.802388666485014e-01, -2.673239583738809e-01, 9.205512094544468e-01
37, 6.812700033190000e-01, -4.428732820002841e-02, 8.738306289994666e-01, -2.816280602690477e-01, 9.271621887635741e-01
38, 6.664699912070000e-01, -4.556880584131263e-02, 8.675794177889981e-01, -2.955816567209865e-01, 9.336235390309883e-01
39, 6.514999866490000e-01, -4.680760273144218e-02, 8.615005077645590e-01, -3.091506523112523e-01, 9.399287197129468e-01
40, 6.363800168040000e-01, -4.800038368180196e-02, 8.555992610855283e-01, -3.223230779340886e-01, 9.460524624627240e-01
41, 6.211299896240000e-01, -4.914419766026542e-02, 8.498772708909715e-01, -3.350953774755100e-01, 9.520165488828112e-01
42, 6.057599782940000e-01, -5.023714097566431e-02, 8.443186806914799e-01, -3.475029448850896e-01, 9.578103149180166e-01
43, 5.902799963950000e-01, -5.127751384702850e-02, 8.389316603446202e-01, -3.595275438736157e-01, 9.634510127535926e-01
44, 5.747100114820000e-01, -5.226318518826376e-02, 8.337467978131939e-01, -3.711008977384064e-01, 9.688754551578073e-01
45, 5.590599775310000e-01, -5.319290971025840e-02, 8.288212404658992e-01, -3.820954453886178e-01, 9.740524964743801e-01
46, 5.433599948880000e-01, -5.406448879205304e-02, 8.241520106096216e-01, -3.925178334606660e-01, 9.789587572373377e-01
47, 5.276100039480000e-01, -5.487763014509926e-02, 8.196379474778044e-01, -4.025938672370438e-01, 9.837361726978459e-01
48, 5.118399858470000e-01, -5.563057105474491e-02, 8.150930080575577e-01, -4.127388213000945e-01, 9.885488347522057e-01
49, 4.960500001910000e-01, -5.632314141038867e-02, 8.104963826103009e-01, -4.229991459591498e-01, 9.934516468550204e-01
50, 4.802699983120000e-01, -5.695387402292971e-02, 8.061581475705517e-01, -4.326827063157328e-01, 9.980625799331160e-01
51, 4.645099937920000e-01, -5.752225492509533e-02, 8.025653808475545e-01, -4.407022748938517e-01, 1.001873489695421e+00
52, 4.487800002100000e-01, -5.802770263760609e-02, 7.998709904270872e-01, -4.467165392252518e-01, 1.004691016519870e+00
53, 4.331099987030000e-01, -5.846901796705039e-02, 7.976114498044136e-01, -4.517601566865769e-01, 1.007055098338815e+00
54, 4.174999892710000e-01, -5.884586768779099e-02, 7.947806872826687e-01, -4.580788230297574e-01, 1.010075790650315e+00
55, 4.019699990750000e-01, -5.915725929182625e-02, 7.902809178846222e-01, -4.681229511503969e-01, 1.014995042345971e+00
56, 3.865399956700000e-01, -5.940221496537313e-02, 7.835003097146448e-01, -4.832582372440964e-01, 1.022466070184778e+00
57, 3.712300062180000e-01, -5.957976616071106e-02, 7.748587914261895e-01, -5.025473405665413e-01, 1.032031369617538e+00
58, 3.560400009160000e-01, -5.968905843650728e-02, 7.658588764379847e-01, -5.226364365223557e-01, 1.041953811954197e+00
