VARIABLES="VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
          0               , -0.0437986      , 0.001           
          1               , -0.0216094      , 0.001           
          2               , -0.00871148     , 0.001           
          3               , -0.00139126     , 0.001           
          4               , 0.00231119      , 0.001           
          5               , 0.00344574      , 0.001           
          6               , 0.00267385      , 0.001           
          7               , 0.000602367     , 0.001           
          8               , -0.00204622     , 0.001           
          9               , -0.0044574      , 0.001           
          10              , -0.00594672     , 0.001           
          11              , -0.00627663     , 0.001           
          12              , -0.00582373     , 0.001           
          13              , -0.00534235     , 0.001           
          14              , -0.00538542     , 0.001           
          15              , -0.00595278     , 0.001           
          16              , -0.00685854     , 0.001           
          17              , -0.00773515     , 0.001           
          18              , -0.00443884     , 0.001           
          19              , -0.0693103      , 0.001           
          20              , -0.0431391      , 0.001           
          21              , -0.0278656      , 0.001           
          22              , -0.0131162      , 0.001           
          23              , 0.00281256      , 0.001           
          24              , 0.0182442       , 0.001           
          25              , 0.0304034       , 0.001           
          26              , 0.0368132       , 0.001           
          27              , 0.0362616       , 0.001           
          28              , 0.029386        , 0.001           
          29              , 0.0187493       , 0.001           
          30              , 0.00819544      , 0.001           
          31              , 0.00138211      , 0.001           
          32              , -0.000107249    , 0.001           
          33              , 0.00221117      , 0.001           
          34              , 0.00514595      , 0.001           
          35              , 0.00704448      , 0.001           
          36              , 0.00827536      , 0.001           
          37              , 0.00657446      , 0.001           
