"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"C<sub>p</sub>"	"Mach"
0	9.997500181200000e-01	-3.633242804077512e-05	1.199828889056299e+00	7.195748441271749e-01	1.010184606326011e-01	3.446401226902636e+00	1.290549160061306e+00	1.075611007396531e+00	6.485472322797002e-01	4.935180051648441e-01	
1	9.990000128750000e-01	-1.454723422608262e-04	1.181604055912445e+00	7.459498547935235e-01	1.066667984535420e-01	3.400791578783799e+00	1.264206773237799e+00	1.069907273009119e+00	5.897472616915153e-01	5.210697917773340e-01	
2	9.977599978450000e-01	-3.275075334427447e-04	1.171179978498835e+00	7.640400217232816e-01	1.128620553960221e-01	3.375504353666103e+00	1.248339515456108e+00	1.065881878425016e+00	5.543292755716694e-01	5.398352090312186e-01	
3	9.960200190539999e-01	-5.899280051132869e-04	1.164741036708038e+00	7.748486223198289e-01	1.197580350163066e-01	3.359985504585553e+00	1.238437283156512e+00	1.063272645271231e+00	5.322260784743572e-01	5.517309252775431e-01	
4	9.937800168990000e-01	-9.470979254931201e-04	1.160168390407590e+00	7.807397549404623e-01	1.301712414927692e-01	3.348836637519030e+00	1.231533243792442e+00	1.061512495922924e+00	5.168152763224142e-01	5.596450021247965e-01	
5	9.910500049590000e-01	-1.422105037602664e-03	1.155703594732806e+00	7.855125673028935e-01	1.447862470392660e-01	3.337964643740790e+00	1.224778127758311e+00	1.059768381218435e+00	5.017368923176594e-01	5.674035036448707e-01	
6	9.878399968150000e-01	-2.045537577110312e-03	1.148819151545548e+00	7.913179536955798e-01	1.632566767897180e-01	3.320868847228160e+00	1.214693993774246e+00	1.057341351021241e+00	4.792276646746553e-01	5.780681422555278e-01	
7	9.841300249100000e-01	-2.853715097189288e-03	1.137901380828502e+00	8.009828595986315e-01	1.836694585480519e-01	3.293680598763825e+00	1.198778647468152e+00	1.053499598177239e+00	4.437023380985538e-01	5.946550638743836e-01	
8	9.799500107769999e-01	-3.858955164486630e-03	1.121719867138447e+00	8.159923693098932e-01	2.028763183092177e-01	3.253307948035624e+00	1.175266332399854e+00	1.047736040726466e+00	3.912194919639598e-01	6.189221941276646e-01	
9	9.752799868580000e-01	-5.058417369698272e-03	1.100364453183335e+00	8.363997459116657e-01	2.169552228858014e-01	3.199978098065266e+00	1.144284546495616e+00	1.039914133163082e+00	3.220637198562846e-01	6.508105750307680e-01	
10	9.701499938960000e-01	-6.405283187624487e-03	1.075074892631016e+00	8.604891567857877e-01	2.227237850414377e-01	3.136710178513024e+00	1.107708734378106e+00	1.030354947335089e+00	2.404212820939876e-01	6.883834596126230e-01	
11	9.645400047300000e-01	-7.841075588308205e-03	1.048462755557325e+00	8.849331500017267e-01	2.186050893224772e-01	3.069893826084140e+00	1.069459794458668e+00	1.020026499549029e+00	1.550441840595261e-01	7.275289586610633e-01	
12	9.584699869160000e-01	-9.290452894963986e-03	1.024894281183523e+00	9.060885235276946e-01	2.055654846826202e-01	3.010544194391515e+00	1.035760579925104e+00	1.010602360595703e+00	7.982272304710704e-02	7.621421002820744e-01	
